tau1,tau2,local_tpr,local_fpr,global_tpr,global_fpr
1.2523699294565195e-08,1.2523699294565195e-08,0.976144,0.781456,1.0,0.9999999999999383
1.2523699294565195e-08,1.764146707506267e-08,0.976144,0.778804,1.0,0.9999999999999214
1.2523699294565195e-08,2.485059352196191e-08,0.976144,0.7779200000000001,1.0,0.9999999999999148
1.2523699294565195e-08,3.5005705351269954e-08,0.976144,0.7761520000000001,1.0,0.9999999999999002
1.2523699294565195e-08,4.9310669624730435e-08,0.976144,0.770848,1.0,0.9999999999998406
1.2523699294565195e-08,6.946130964766018e-08,0.976144,0.76908,1.0,0.9999999999998141
1.2523699294565195e-08,9.784644124054514e-08,0.976144,0.757588,1.0,0.999999999999509
1.2523699294565195e-08,1.3783106180984555e-07,0.976144,0.739908,1.0,0.999999999997993
1.2523699294565195e-08,1.9415526368431038e-07,0.976144,0.7001280000000001,1.0,0.9999999999654285
1.2523699294565195e-08,2.7349616205039916e-07,0.976144,0.6055400000000001,1.0,0.9999999916812244
1.2523699294565195e-08,3.852594528568679e-07,0.976144,0.40664,1.0,0.9999707338684719
1.2523699294565195e-08,5.426944382064915e-07,0.976144,0.23514400000000002,1.0,0.9953054544401185
1.2523699294565195e-08,7.644647031404026e-07,0.976144,0.19448000000000001,1.0,0.9867710139961907
1.2523699294565195e-08,1.0768606442308563e-06,0.976144,0.160888,1.0,0.9700498750785969
1.2523699294565195e-08,1.5169161405746597e-06,0.976144,0.12994799999999998,1.0,0.9382119920889366
1.2523699294565195e-08,2.1367988419517605e-06,0.976144,0.09724000000000001,1.0,0.87074535555647
1.2523699294565195e-08,3.0099945335387307e-06,0.976144,0.060112000000000006,1.0,0.7105842939158026
1.2523699294565195e-08,4.240018720553743e-06,0.976144,0.028288,1.0,0.4366849942580655
1.2523699294565195e-08,5.972688172795604e-06,0.976144,0.007072,1.0,0.13232885591623367
1.2523699294565195e-08,8.413407194766748e-06,0.976144,0.000884,1.0,0.01753230792973659
1.2523699294565195e-08,1.1851517872198003e-05,0.9741679999999999,0.0,1.0,0.0
1.2523699294565195e-08,1.6694600965277867e-05,0.972192,0.0,1.0,0.0
1.2523699294565195e-08,2.3516793747041554e-05,0.966264,0.0,1.0,0.0
1.2523699294565195e-08,3.312685276462292e-05,0.9544079999999999,0.0,1.0,0.0
1.2523699294565195e-08,4.6664030219980915e-05,0.94848,0.0,1.0,0.0
1.2523699294565195e-08,6.573312991256274e-05,0.930696,0.0,1.0,0.0
1.2523699294565195e-08,9.259475334069438e-05,0.9129120000000001,0.0,1.0,0.0
1.2523699294565195e-08,0.00013043328923525722,0.881296,0.0,1.0,0.0
1.2523699294565195e-08,0.00018373441611892432,0.8457279999999999,0.0,0.9999999999999999,0.0
1.2523699294565195e-08,0.0002588168700221416,0.78052,0.0,0.9999999999999327,0.0
1.2523699294565195e-08,0.0003645815172955977,0.709384,0.0,0.9999999999815332,0.0
1.2523699294565195e-08,0.0005135665335191993,0.618488,0.0,0.9999999957325931,0.0
1.2523699294565195e-08,0.0007234337777388782,0.511784,0.0,0.9999994081111435,0.0
1.2523699294565195e-08,0.00101906256855808,0.40508,0.0,0.9999691559509322,0.0
1.2523699294565195e-08,0.0014354990748179218,0.292448,0.0,0.9990110661147209,0.0
1.2523699294565195e-08,0.0020221109649026037,0.20155199999999998,0.0,0.9889099693184873,0.0
1.2523699294565195e-08,0.0028484398395714596,0.12053599999999999,0.0,0.9233766148608541,0.0
1.2523699294565195e-08,0.004012445241870639,0.063232,0.0,0.7292048159914043,0.0
1.2523699294565195e-08,0.0056521175540897,0.023712,0.0,0.3811875758043065,0.0
1.2523699294565195e-08,0.007961836466173225,0.013832,0.0,0.24313552448816889,0.0
1.764146707506267e-08,1.764146707506267e-08,0.976144,0.776161,1.0,0.9999999999999003
1.764146707506267e-08,2.485059352196191e-08,0.976144,0.77528,1.0,0.9999999999998922
1.764146707506267e-08,3.5005705351269954e-08,0.976144,0.773518,1.0,0.9999999999998739
1.764146707506267e-08,4.9310669624730435e-08,0.976144,0.768232,1.0,0.9999999999997999
1.764146707506267e-08,6.946130964766018e-08,0.976144,0.76647,1.0,0.9999999999997673
1.764146707506267e-08,9.784644124054514e-08,0.976144,0.7550169999999999,1.0,0.9999999999993937
1.764146707506267e-08,1.3783106180984555e-07,0.976144,0.737397,1.0,0.9999999999975678
1.764146707506267e-08,1.9415526368431038e-07,0.976144,0.697752,1.0,0.9999999999595174
1.764146707506267e-08,2.7349616205039916e-07,0.976144,0.603485,1.0,0.9999999907701972
1.764146707506267e-08,3.852594528568679e-07,0.976144,0.40526,1.0,0.9999693420599772
1.764146707506267e-08,5.426944382064915e-07,0.976144,0.23434600000000003,1.0,0.9952065178454962
1.764146707506267e-08,7.644647031404026e-07,0.976144,0.19382,1.0,0.9865525358122477
1.764146707506267e-08,1.0768606442308563e-06,0.976144,0.16034199999999998,1.0,0.9696576926487086
1.764146707506267e-08,1.5169161405746597e-06,0.976144,0.12950699999999998,1.0,0.9375826016797826
1.764146707506267e-08,2.1367988419517605e-06,0.976144,0.09691,1.0,0.8697970972815119
1.764146707506267e-08,3.0099945335387307e-06,0.976144,0.059908,1.0,0.7093253630265345
1.764146707506267e-08,4.240018720553743e-06,0.976144,0.028192000000000002,1.0,0.4355708981932649
1.764146707506267e-08,5.972688172795604e-06,0.976144,0.0070480000000000004,1.0,0.13190931109799398
1.764146707506267e-08,8.413407194766748e-06,0.976144,0.0008810000000000001,1.0,0.017473306028996105
1.764146707506267e-08,1.1851517872198003e-05,0.9741679999999999,0.0,1.0,0.0
1.764146707506267e-08,1.6694600965277867e-05,0.972192,0.0,1.0,0.0
1.764146707506267e-08,2.3516793747041554e-05,0.966264,0.0,1.0,0.0
1.764146707506267e-08,3.312685276462292e-05,0.9544079999999999,0.0,1.0,0.0
1.764146707506267e-08,4.6664030219980915e-05,0.94848,0.0,1.0,0.0
1.764146707506267e-08,6.573312991256274e-05,0.930696,0.0,1.0,0.0
1.764146707506267e-08,9.259475334069438e-05,0.9129120000000001,0.0,1.0,0.0
1.764146707506267e-08,0.00013043328923525722,0.881296,0.0,1.0,0.0
1.764146707506267e-08,0.00018373441611892432,0.8457279999999999,0.0,0.9999999999999999,0.0
1.764146707506267e-08,0.0002588168700221416,0.78052,0.0,0.9999999999999327,0.0
1.764146707506267e-08,0.0003645815172955977,0.709384,0.0,0.9999999999815332,0.0
1.764146707506267e-08,0.0005135665335191993,0.618488,0.0,0.9999999957325931,0.0
1.764146707506267e-08,0.0007234337777388782,0.511784,0.0,0.9999994081111435,0.0
