ligand_type,r_max,var_rate,ratio
ag,50,0.0035376204127412,3
ag,50,0.0729466588761848,3
ag,50,0.0293838010857928,3
ag,50,0.0126658260942087,3
ag,50,0.0058842005595513,3
ag,50,0.057581962871577,3
ag,50,0.0485204443736756,3
ag,50,0.0132139362130478,3
ag,50,0.0053577184119095,3
ag,50,0.0152520995938223,3
ag,50,0.01453534225196,3
ag,50,0.0447093793153795,3
ag,50,0.0444729432209948,3
ag,50,0.0159576503218658,3
ag,50,0.0088876272107708,3
ag,50,0.0009218822297473,3
ag,50,0.0048383682738551,3
ag,50,0.0082510650049351,3
ag,50,0.0011632204322234,3
ag,50,0.016695164862494,3
ag,50,0.0074502080287645,3
ag,50,0.0023879447603072,3
ag,50,0.0010007869719125,3
ag,50,0.0119796992401515,3
ag,50,0.0068990627461693,3
ag,50,0.0017592409329538,3
ag,50,0.0019478658227125,3
ag,50,0.0228313938987476,3
ag,50,0.0136760145477934,3
ag,50,0.0105443620227442,3
ag,50,0.0177832927158419,3
ag,50,0.0005996772601971,3
ag,50,0.0362412955529733,3
ag,50,0.0036044244536412,3
ag,50,0.0201137848904368,3
ag,50,0.0028510465677519,3
ag,50,0.0083009329758012,3
ag,50,0.0072400633933909,3
ag,50,0.0049131645347903,3
ag,50,0.0511681013800625,3
ag,50,0.0265160973639024,3
ag,50,0.0023237581022012,3
ag,50,0.0011606348488701,3
ag,50,0.0007853029298436,3
ag,50,0.0237930025114473,3
ag,50,0.0085645017350831,3
ag,50,0.0045733089222497,3
ag,50,0.0597838246268706,3
ag,50,0.0476689109504224,3
ag,50,0.018394874753538,3
ag,50,0.0268751368302892,3
ag,50,0.0017145756246756,3
ag,50,0.0071230646424943,3
ag,50,0.0074891243069126,3
ag,50,0.0006126171771706,3
ag,50,0.0146522499677861,3
ag,50,0.0031550847818323,3
ag,50,0.0289266419473396,3
ag,50,0.0296523186888363,3
ag,50,0.0049794317467688,3
ag,50,0.0052419830893531,3
ag,50,0.0055433177487556,3
ag,50,0.0050653314432584,3
ag,50,0.0010346178525522,3
ag,50,0.0013782155343948,3
ag,50,0.0066313479613083,3
ag,50,0.0055434114247994,3
ag,50,0.0115051864729144,3
ag,50,0.0049703033546396,3
ag,50,0.0058024196969709,3
ag,50,0.0043287635455038,3
ag,50,0.0072744409412317,3
ag,50,0.0141666272081631,3
ag,50,0.0151916150166812,3
ag,50,0.0108069298940293,3
ag,50,0.0041838446141032,3
ag,50,0.0107476040294438,3
ag,50,0.0444107555024369,3
ag,50,0.0039909198789048,3
ag,50,0.0120944568732222,3
ag,50,0.1253854235319257,3
ag,50,0.0087278933466056,3
ag,50,0.0021831022155397,3
ag,50,0.0065697737622862,3
ag,50,0.0234720789907888,3
ag,50,0.0001445507835656,3
ag,50,0.048572990071473,3
ag,50,0.015529642672603,3
ag,50,0.0033273964653575,3
ag,50,0.0076954266448201,3
ag,50,0.0226409936065943,3
ag,50,0.0026243063478354,3
ag,50,0.0132669705167228,3
ag,50,0.0040273922023507,3
ag,50,0.0154432387593268,3
