fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.15,1.0
0.0,0.162,0.9999999999999991
0.0,0.468,2.4673183830935685e-15
0.012,0.468,6.666496134781565e-17
0.012,0.47,6.218713474777683e-17
0.022,0.47,2.6457523421513427e-17
0.022,0.472,2.493696266002601e-17
0.026,0.472,2.0395711257901793e-17
0.026,0.474,1.8999720281214518e-17
0.028,0.474,1.8559084789411013e-17
0.028,0.478,1.153525768199965e-17
0.034,0.478,7.822466912012873e-18
0.034,0.48,6.11572254384632e-18
0.04,0.48,3.858773835629662e-18
0.04,0.482,2.9652203175526984e-18
0.05,0.482,2.3877235049839755e-18
0.05,0.486,2.220113774964323e-18
0.06,0.486,1.737367930795161e-18
0.06,0.488,1.7252518485994977e-18
0.062,0.488,1.6683612795035835e-18
0.062,0.49,1.5038728320877115e-18
0.078,0.49,1.145802864617907e-18
0.078,0.494,1.0308613522784627e-18
0.08,0.494,9.99681610926402e-19
0.08,0.496,9.450309681304403e-19
0.094,0.496,6.559112111746242e-19
0.094,0.502,5.506628649966248e-19
0.108,0.502,4.936832560769211e-19
0.108,0.504,4.846491763202837e-19
0.118,0.504,4.6366160948485e-19
0.118,0.508,3.967996490483409e-19
0.128,0.508,3.1437333937738917e-19
0.128,0.51,3.1052893367403947e-19
0.14,0.51,2.435449038173982e-19
0.14,0.514,2.346030746046532e-19
0.146,0.514,2.025818887467723e-19
0.146,0.518,1.9797206917688706e-19
0.16,0.518,1.7151146906110793e-19
0.16,0.52,1.6517906495622928e-19
0.166,0.52,1.5998699743138488e-19
0.166,0.524,1.4913409665186327e-19
0.178,0.524,1.0555613093701611e-19
0.178,0.53,1.0405439850725531e-19
0.184,0.53,9.720742567612662e-20
0.184,0.534,9.245978798946109e-20
0.186,0.534,8.468455174431406e-20
0.186,0.536,8.349490369557806e-20
0.2,0.536,6.77254279433843e-20
0.2,0.538,6.739848619432324e-20
0.204,0.538,6.252041590008314e-20
0.204,0.542,5.855709187791643e-20
0.22,0.542,5.1307085141004e-20
0.22,0.544,5.1079802825641646e-20
0.224,0.544,4.613794590157508e-20
0.224,0.546,4.569006519112957e-20
0.228,0.546,4.3618465047950567e-20
0.228,0.548,4.3453796123006646e-20
0.23,0.548,4.183682595663782e-20
0.23,0.55,4.165253716090456e-20
0.232,0.55,3.9761768353790596e-20
0.232,0.554,3.767264957559035e-20
0.234,0.554,3.638060297499511e-20
0.234,0.562,3.137893748766793e-20
0.236,0.562,2.951247113428627e-20
0.236,0.564,2.9221099869447723e-20
0.238,0.564,2.572427877224713e-20
0.238,0.568,2.4722218956702062e-20
0.25,0.568,2.2146798654341007e-20
0.25,0.572,2.0391241217305146e-20
0.26,0.572,1.8199750236550065e-20
0.26,0.574,1.8012795317344172e-20
0.264,0.574,1.7533074331211334e-20
0.264,0.576,1.714376142954041e-20
0.268,0.576,1.5177964664156074e-20
0.268,0.578,1.4620563961365502e-20
0.27,0.578,1.4452368931702055e-20
0.27,0.58,1.4280834065149402e-20
0.276,0.58,1.2212297116328913e-20
0.276,0.584,1.111907957454575e-20
0.278,0.584,1.0586062889014935e-20
0.278,0.586,1.0374429543503382e-20
0.286,0.586,9.234622086210035e-21
0.286,0.588,9.019813946466411e-21
0.288,0.588,8.95449961770195e-21
0.288,0.596,8.425287213897323e-21
0.29,0.596,7.994804539938692e-21
0.29,0.598,7.922718072768665e-21
0.292,0.598,7.882536727612651e-21
0.292,0.6,7.826695322867503e-21
0.294,0.6,7.534607142452811e-21
0.294,0.602,7.475673622158312e-21
0.298,0.602,7.230400002390329e-21
0.298,0.606,6.472232325389283e-21
0.302,0.606,6.135987267118342e-21
0.302,0.61,5.829676235995082e-21
0.33,0.61,4.305567962724492e-21
0.33,0.612,4.243242049962496e-21
0.336,0.612,3.888878578775601e-21
0.336,0.614,3.697055055212609e-21
0.344,0.614,3.2804648281452337e-21
0.344,0.616,3.2086071890233698e-21
0.356,0.616,2.839915336761056e-21
0.356,0.62,2.5860132418375195e-21
0.358,0.62,2.5491972108459935e-21
0.358,0.622,2.4861392552957902e-21
0.37,0.622,2.2153421131067295e-21
0.37,0.624,2.187582197271919e-21
0.38,0.624,1.9015631429875128e-21
0.38,0.626,1.8644392581813164e-21
0.39,0.626,1.56308072456038e-21
0.39,0.628,1.5513365342112015e-21
0.394,0.628,1.5441718128667265e-21
0.394,0.63,1.507501374407078e-21
0.398,0.63,1.4540952838505224e-21
0.398,0.636,1.3542836470455287e-21
0.406,0.636,1.1410751645411617e-21
0.406,0.638,1.138178261930496e-21
0.41,0.638,1.0139897511939589e-21
0.41,0.646,8.624540182061966e-22
0.42,0.646,8.00049864820918e-22
0.42,0.648,7.604583391281201e-22
0.422,0.648,7.376639281401827e-22
0.422,0.65,6.663558695632297e-22
0.424,0.65,6.510197867660302e-22
0.424,0.652,6.34969436853356e-22
0.426,0.652,6.118109344891082e-22
0.426,0.656,6.037951099325137e-22
0.428,0.656,5.905824078862298e-22
0.428,0.658,5.78827281775072e-22
0.43,0.658,5.714781859853012e-22
0.43,0.66,5.5376236074802e-22
0.432,0.66,5.372171679544445e-22
0.432,0.662,5.204095661170176e-22
0.438,0.662,4.956595035969235e-22
0.438,0.664,4.877364313649254e-22
0.44,0.664,3.910370293809052e-22
0.44,0.668,3.8772819339161106e-22
0.442,0.668,3.7582725747195925e-22
0.442,0.67,3.541425360485442e-22
0.444,0.67,3.4832599174385084e-22
0.444,0.672,3.3006247947263505e-22
0.446,0.672,3.081808693805018e-22
0.446,0.676,2.7099983086492067e-22
0.452,0.676,2.376095595703018e-22
0.452,0.678,2.185929630512657e-22
0.454,0.678,2.159898709244396e-22
0.454,0.682,2.002529603849391e-22
0.458,0.682,1.900097061510841e-22
0.458,0.686,1.8561961750743516e-22
0.46,0.686,1.8012593557754396e-22
0.46,0.688,1.791572658008221e-22
0.47,0.688,1.4661448412170432e-22
0.47,0.69,1.4411415154076531e-22
0.472,0.69,1.4291910743884058e-22
0.472,0.692,1.37880906884745e-22
0.482,0.692,1.1584140605862152e-22
0.482,0.694,1.146816623675439e-22
0.51,0.694,7.280867084938023e-23
0.51,0.7,6.692424953713158e-23
0.514,0.7,6.258682041166042e-23
0.514,0.704,6.133008131551479e-23
0.518,0.704,5.616774965458137e-23
0.518,0.706,5.575282819648383e-23
0.522,0.706,5.0418899962811084e-23
0.522,0.708,4.9667872578378804e-23
0.526,0.708,4.504328662802347e-23
0.526,0.714,4.001594229835915e-23
0.532,0.714,3.860204709861467e-23
0.532,0.716,3.787087778319871e-23
0.534,0.716,3.702193820315879e-23
0.534,0.72,3.447144270328017e-23
0.538,0.72,3.3958908563437857e-23
0.538,0.724,3.304078482394958e-23
0.544,0.724,3.034938738688771e-23
0.544,0.73,2.763176750144661e-23
0.546,0.73,2.5972242858521424e-23
0.546,0.732,2.5374088795353943e-23
0.554,0.732,2.3795014596161853e-23
0.554,0.746,1.953928682694802e-23
0.562,0.746,1.7113408659458685e-23
0.562,0.748,1.6902737051084614e-23
0.564,0.748,1.6677792714496637e-23
0.564,0.752,1.545929348276308e-23
0.572,0.752,1.4055852211701928e-23
0.572,0.754,1.2822030360149283e-23
0.578,0.754,1.2232640706659776e-23
0.578,0.756,1.1805298799232464e-23
0.586,0.756,1.0369210188049806e-23
0.586,0.758,1.0164982302449056e-23
0.592,0.758,9.146542939428837e-24
0.592,0.762,9.08411297436107e-24
0.606,0.762,7.87335107509821e-24
0.606,0.766,7.796788318235425e-24
0.61,0.766,7.731882138022531e-24
0.61,0.768,7.727627518958018e-24
0.612,0.768,7.645308499710782e-24
0.612,0.772,7.194180405771352e-24
0.616,0.772,7.115239513988538e-24
0.616,0.776,6.745851752466493e-24
0.618,0.776,6.668623649629855e-24
0.618,0.778,6.3143060630234566e-24
0.62,0.778,6.247512857858798e-24
0.62,0.784,6.077469683670928e-24
0.626,0.784,5.7576282992725595e-24
