fpr,tpr,thresholds
0.626,0.786,5.732074321528429e-24
0.628,0.786,5.670655158386586e-24
0.628,0.788,5.643738796930404e-24
0.63,0.788,5.444772891623468e-24
0.63,0.79,5.271277359686442e-24
0.644,0.79,4.231448064037032e-24
0.644,0.792,4.011809948202696e-24
0.646,0.792,3.9722563625888656e-24
0.646,0.794,3.941093805994466e-24
0.658,0.794,3.472999967885255e-24
0.658,0.798,3.140437400369763e-24
0.666,0.798,2.930447987886892e-24
0.666,0.8,2.919415649608316e-24
0.668,0.8,2.7672087248185902e-24
0.668,0.802,2.6986432315044835e-24
0.68,0.802,2.4843193190593034e-24
0.68,0.804,2.4612732601217085e-24
0.684,0.804,2.4333105944617644e-24
0.684,0.808,2.4187205409113144e-24
0.69,0.808,2.321719485615293e-24
0.69,0.818,2.062653268812081e-24
0.692,0.818,2.05710068140118e-24
0.692,0.824,1.8145843145327427e-24
0.696,0.824,1.7768975916090772e-24
0.696,0.826,1.7599886941143983e-24
0.702,0.826,1.6894982427005752e-24
0.702,0.828,1.6619473402946798e-24
0.704,0.828,1.6198340434779267e-24
0.704,0.832,1.5437449739647457e-24
0.706,0.832,1.5107572249021308e-24
0.706,0.834,1.4681046584241858e-24
0.708,0.834,1.4676662594928656e-24
0.708,0.836,1.4676572971716626e-24
0.734,0.836,1.1329848993680059e-24
0.734,0.84,1.080610712513451e-24
0.74,0.84,9.09606168811748e-25
0.74,0.846,8.819483180426746e-25
0.748,0.846,7.931222871533894e-25
0.748,0.852,7.307408712895953e-25
0.75,0.852,7.144886161189478e-25
0.75,0.856,6.968980600515465e-25
0.752,0.856,6.959495194664877e-25
0.752,0.858,6.609620286605513e-25
0.754,0.858,6.545065617283552e-25
0.754,0.864,6.46818789866564e-25
0.756,0.864,6.460733071246096e-25
0.756,0.868,6.086559195724665e-25
0.76,0.868,5.471648169104013e-25
0.76,0.876,4.897436105968635e-25
0.79,0.876,3.7449365090490054e-25
0.79,0.88,3.427062291106778e-25
0.792,0.88,3.2210275010416097e-25
0.792,0.886,3.1003328284708904e-25
0.794,0.886,2.8546938337881993e-25
0.794,0.892,2.586909922092176e-25
0.796,0.892,2.575994256680864e-25
0.796,0.896,2.4200503947614365e-25
0.814,0.896,1.355265910433178e-25
0.814,0.898,1.3348963754944257e-25
0.816,0.898,1.2787212190899612e-25
0.816,0.9,1.245552781738501e-25
0.82,0.9,1.2123322008367087e-25
0.82,0.902,1.2113806008916397e-25
0.822,0.902,1.1982668831143345e-25
0.822,0.904,1.0323589455555833e-25
0.828,0.904,9.577876010442381e-26
0.828,0.91,8.544218417370811e-26
0.834,0.91,7.441149204557939e-26
0.834,0.912,7.282006354604956e-26
0.836,0.912,6.44781203601193e-26
0.836,0.916,5.085807327803427e-26
0.838,0.916,5.047648812064879e-26
0.838,0.918,4.760227342768501e-26
0.84,0.918,4.394906033372212e-26
0.84,0.92,4.389080410874173e-26
0.846,0.92,3.388258065751875e-26
0.846,0.922,3.2750190935489576e-26
0.85,0.922,2.5935650950329864e-26
0.85,0.924,2.5386463744474416e-26
0.854,0.924,2.0869989217386078e-26
0.854,0.926,1.9980903107805696e-26
0.86,0.926,1.7300106351744038e-26
0.86,0.93,1.477715251540874e-26
0.864,0.93,1.2630159245019692e-26
0.864,0.934,1.0474670060008941e-26
0.866,0.934,9.555976937788448e-27
0.866,0.936,8.981871516903707e-27
0.874,0.936,7.510929637292775e-27
0.874,0.938,6.3596194420457916e-27
0.878,0.938,5.366829442796284e-27
0.878,0.94,4.913322959094263e-27
0.88,0.94,4.629502243372845e-27
0.88,0.948,3.819657716914895e-27
0.886,0.948,2.6242815440729955e-27
0.886,0.95,2.1041774485296327e-27
0.888,0.95,1.8984794371731796e-27
0.888,0.952,1.891869548874475e-27
0.892,0.952,1.7712025264764496e-27
0.892,0.954,1.531954561749667e-27
0.896,0.954,1.412321066498617e-27
0.896,0.956,1.1823510139528056e-27
0.904,0.956,1.0234663155863513e-27
0.904,0.96,9.886572971180128e-28
0.906,0.96,8.792260765020348e-28
0.906,0.964,8.62065298307217e-28
0.918,0.964,6.312201099681547e-28
0.918,0.966,5.884309372532363e-28
0.92,0.966,5.783329880136019e-28
0.92,0.97,5.25708550233203e-28
0.934,0.97,3.747636021604261e-28
0.934,0.974,3.420456417635301e-28
0.948,0.974,2.2771301336051847e-28
0.948,0.976,2.2371146516525575e-28
0.952,0.976,2.1009352476886806e-28
0.952,0.98,1.8532906558153253e-28
0.958,0.98,1.7254106155037126e-28
0.958,0.982,1.6154645564298921e-28
0.962,0.982,1.4319029112472168e-28
0.962,0.986,1.22233880032893e-28
0.974,0.986,5.065325213117193e-29
0.974,0.988,4.518979546260941e-29
0.982,0.988,5.121512221416978e-30
0.982,0.992,2.6027792646565834e-30
0.99,0.992,4.187335009153305e-31
0.99,0.994,3.1559876816844674e-31
0.994,0.994,1.8849867368273501e-31
0.994,0.996,1.3397216795738213e-31
0.996,0.996,1.2360322726636503e-31
0.996,0.998,8.908743816592778e-32
0.998,0.998,8.007198848617605e-32
0.998,1.0,7.445011400531776e-33
1.0,1.0,2.695241730450829e-38
