ligand_type,r_max,var_rate
ag,50,0.0006133513975818036
ag,50,7.371965676045416e-05
ag,50,0.0010846805144179453
ag,50,0.000696919077096416
ag,50,0.0
ag,50,0.003285929804343768
ag,50,0.0002011187837327449
ag,50,0.00021595483101747995
ag,50,0.0002504606695587934
ag,50,0.00022364493380650757
ag,50,0.0018858933213332916
ag,50,0.0006575884906991105
ag,50,0.0039104964644653155
ag,50,0.005577812189688155
ag,50,0.0004911631600207578
ag,50,2.4248772139802934e-05
ag,50,0.00015419084381366712
ag,50,0.0010065514075525699
ag,50,0.0016430209434016912
ag,50,0.004503202432063097
ag,50,4.403476691631914e-05
ag,50,0.0011265721832047965
ag,50,0.003675247818112844
ag,50,0.000716442336097844
ag,50,0.0015582297347116443
ag,50,0.006840810177491657
ag,50,0.0013969951170434386
ag,50,0.005098564481596925
ag,50,0.0031459639065868367
ag,50,0.001057622543078023
ag,50,0.00025255638328811406
ag,50,0.0005191373580235547
ag,50,0.0015789113019346825
ag,50,0.0007679437292096933
ag,50,0.0013398320837391506
ag,50,0.0009677133797934131
ag,50,0.0019138212377514219
ag,50,0.0006745052015436974
ag,50,0.007055397906280411
ag,50,0.0005687904672232335
ag,50,0.0006104295282241593
ag,50,0.0009725469359292907
ag,50,0.0013971476999091975
ag,50,0.0011133709007795749
ag,50,0.0003594673151462751
ag,50,0.0030269981764854278
ag,50,0.0023144287249682247
ag,50,0.00015332973114399678
ag,50,0.0010707468299964824
ag,50,0.0003311255476633792
ag,50,0.00017810076054789617
ag,50,0.0007271062390450752
ag,50,0.0018692705926730822
ag,50,0.005348879794843415
ag,50,0.000442093972363218
ag,50,0.0011871380805179293
ag,50,0.0009057777027391658
ag,50,0.0018171242251321176
ag,50,0.0005279435451161428
ag,50,0.000547011364660679
ag,50,0.000896113388215821
ag,50,0.001216781689946236
ag,50,0.0014058820286442313
ag,50,0.002065733354857626
ag,50,0.00018337558167715013
ag,50,0.0013725051008396589
ag,50,0.0008343795739267954
ag,50,0.00012849661347129476
ag,50,0.0005141479948055083
ag,50,7.607696769038028e-05
ag,50,0.0004259759871964131
ag,50,0.0021577131158751505
ag,50,0.0008996971308440147
ag,50,0.003172274964226142
ag,50,9.442968510730077e-05
ag,50,0.0004105798641887676
ag,50,0.0005042178792260563
ag,50,0.0037537046062924785
ag,50,0.00028252648848271225
ag,50,0.0029342130561303774
ag,50,0.002186616338335396
ag,50,0.0001601096225055848
ag,50,0.0018221530035519228
ag,50,0.001303832908505086
ag,50,0.0011899697527923737
ag,50,0.00013594905947962184
ag,50,0.002022202388628362
ag,50,0.0005537246806817563
ag,50,0.0029068332513122338
ag,50,0.0009477069990672115
ag,50,0.004015305833719963
ag,50,0.000495252661792622
ag,50,0.0040102023710785655
ag,50,0.0005140918582088227
ag,50,0.0016430805397725046
ag,50,0.0003978429992571416
ag,50,0.0007278428632937884
ag,50,0.00214481120577191
ag,50,5.5143445559764936e-05
ag,50,0.0015063828583219046
ag,50,9.907127580753407e-05
ag,50,0.000171562632517144
ag,50,0.00035931044675546205
ag,50,0.009211917438339544
ag,50,0.0018035989026025847
ag,50,0.00033128033741656174
ag,50,0.0008460794655295806
ag,50,0.0014544766140670066
ag,50,0.0021860748178659157
ag,50,0.000655970986700395
ag,50,0.00010787694447412435
ag,50,0.0010676557210320952
ag,50,0.0030260527871909058
ag,50,0.0005303612117597386
ag,50,0.0032153372007533714
ag,50,0.0002110213856288201
ag,50,0.0016249311418599093
ag,50,0.0029173225669355918
ag,50,0.0005543864883205303
ag,50,0.0006917390305849249
ag,50,0.001267540304668713
ag,50,2.531372471665182e-05
ag,50,0.000339228375951675
ag,50,0.002158873531337193
ag,50,0.0012239894796366604
ag,50,0.0003184171730522811
ag,50,0.0021581685622141674
ag,50,0.0
ag,50,0.000363982498925247
ag,50,1.935814475683114e-05
ag,50,0.0005894688134230237
ag,50,0.00014396582830647435
ag,50,0.00027496437159283245
ag,50,0.0005615188432599406
ag,50,0.0009163661245592963
ag,50,0.004736320182494093
ag,50,0.0013423340067789747
ag,50,0.0005664850016938218
ag,50,0.0005293457664971954
ag,50,0.000894505124989295
ag,50,0.001175330561481252
ag,50,0.0006575978178596593
ag,50,0.001091009010529386
ag,50,0.0006155955520110283
ag,50,0.000361025524902233
ag,50,0.0005663378448585811
ag,50,0.0017823028727241275
ag,50,0.003088533477088292
ag,50,0.00013298912789598015
ag,50,0.0009531740142569251
ag,50,0.002309151693614175
ag,50,0.0005867089446212998
ag,50,0.0011269756612384907
ag,50,2.2938372882376665e-05
ag,50,0.0028339645042588252
ag,50,0.001391835147679713
ag,50,0.0007935894427262272
ag,50,0.0022965382660585084
ag,50,0.00023299525423088323
ag,50,0.0010626066565816398
ag,50,0.0005682412492913442
ag,50,0.00036139577708928125
ag,50,0.0004517500402345567
ag,50,0.0006490587091919398
