global_fpr,global_tpr
0.0,1.0
1.9999810001669616e-05,1.0
7.999696007299217e-05,1.0
0.000259967892505264,1.0
0.0003199513646694463,1.0
0.0009195980709411078,1.0
0.001039486400258749,1.0
0.0016387230683410081,1.0
0.002776332069797771,1.0
0.003374578908611703,1.0
0.003673574456083628,1.0
0.0038529308788066707,1.0
0.004789071743298123,1.0
0.006102241781544837,1.0
0.00653959921179037,1.0
0.009893207945217974,1.0
0.011061459640572147,1.0
0.011892298407400914,1.0
0.014242742018525933,1.0
0.015327285836912674,1.0
0.016331940756693752,1.0
0.017060198460862708,1.0
0.017394631591712395,1.0
0.0175126410034967,1.0
0.017571640660227206,1.0
0.01766996594182646,1.0
0.0177092934367602,1.0
0.01772895662331453,1.0
0.017768281874640413,1.0
0.01778794393942329,1.0
0.019025900496566384,1.0
0.02110546707017813,1.0
0.02419742622257337,1.0
0.03552627767832184,1.0
0.03901797426583098,1.0
0.041479987582007105,1.0
0.04900174971239546,1.0
0.05582373781418404,1.0
0.06058463275695247,1.0
0.06382102770939013,1.0
0.0665973515853534,1.0
0.06787033570843537,1.0
0.06831923031297105,1.0
0.06854360059423947,1.0
0.06891743699630493,1.0
0.06906693164339539,1.0
0.06914167041564523,1.0
0.06929113085961358,1.0
0.06936585253215577,1.0
0.07279689543715062,1.0
0.07662391284362846,1.0
0.12040225456559006,1.0
0.12158774080339763,1.0
0.12622655986784048,1.0
0.16335286895979795,1.0
0.1708002892270548,1.0
0.19356575556934452,1.0
0.19910694999662082,1.0
0.20137143721517503,1.0
0.20488546137885955,1.0
0.20493371689222095,1.0
0.20618738413008209,1.0
0.20681351329424724,1.0
0.20785601941678922,1.0
0.20827265728408106,1.0
0.2084808981423819,1.0
0.2088972237698924,1.0
0.20910530856373644,1.0
0.24687203784205536,1.0
0.2731617863376329,1.0
0.32307974300386966,1.0
0.3280185883628801,1.0
0.37032266903212385,1.0
0.39844868062623806,1.0
0.41950160324508445,1.0
0.48868190565570846,1.0
0.49266450340949963,1.0
0.5319636672179491,1.0
0.5378494620424101,1.0
0.55392818680488,1.0
0.56113619790799,1.0
0.5636536788305271,1.0
0.564889125195857,1.0
0.5649072687067639,1.0
0.5669889853455763,1.0
0.5678190197072666,1.0
0.5682334698468503,1.0
0.5690612376744324,1.0
0.5694745560140109,1.0
0.5807556496260211,1.0
0.6126946470844369,1.0
0.6947149417658622,1.0
0.702358324198541,1.0
0.7040235998514376,1.0
0.7527665590047055,1.0
0.7610983080890711,1.0
0.7683667043312941,1.0
0.7752164998395955,1.0
0.7775877947832188,1.0
0.7787645116544382,1.0
0.7807125738256053,1.0
0.781487226608618,1.0
0.7818735774210842,1.0
0.7824941451778444,1.0
0.7826443330603896,1.0
0.7830287399515474,1.0
0.8600242033544722,1.0
0.8669154529408735,1.0
0.8775096253051641,1.0
0.9119394119806375,1.0
0.9211580831951383,1.0
0.9216222831776092,1.0
0.9257237673333436,1.0
0.9271220322892475,1.0
0.9278117517692148,1.0
0.9289475235081468,1.0
0.9293970615679162,1.0
0.9296208160812726,1.0
0.9300663057128851,1.0
0.9302880446707492,1.0
0.9491483153750924,1.0
0.9630956895199353,1.0
0.9685527572742857,1.0
0.9734826998172784,1.0
0.9754928963276366,1.0
0.976167152401847,1.0
0.9764976350350771,1.0
0.9770387850295315,1.0
0.9771035854933912,1.0
0.9772519129021158,1.0
0.977357770766572,1.0
0.9775680841974177,1.0
0.9776725436786892,1.0
0.9877345256648452,1.0
0.9901817704218752,1.0
0.9911434879205767,1.0
0.9914610175445324,1.0
0.9916156972138003,1.0
0.9918675975808148,1.0
0.9919663305088067,1.0
0.9920152688993921,1.0
0.9921122973448486,1.0
0.992160390499904,1.0
0.992944160643071,1.0
0.9965660362367205,1.0
0.9969806537312879,1.0
0.9977743140838773,1.0
0.9980683649475057,1.0
0.9981630345672108,1.0
0.9982086999438473,1.0
0.9982824213596699,1.0
0.9983110951034886,1.0
0.9983252608698601,1.0
0.9983532544879508,1.0
0.9983670840398704,1.0
0.9998510608172441,1.0
0.9999730043368358,1.0
0.9999856542425348,1.0
0.999989343874843,1.0
0.9999904156234846,1.0
0.9999909122928654,1.0
0.9999916861677686,1.0
0.999991977832269,1.0
0.9999921199933957,1.0
0.9999923971677027,1.0
0.9999925322568494,1.0
0.9999994615633497,1.0
0.9999999820630302,1.0
0.9999999952946811,1.0
0.9999999975342516,1.0
0.9999999980470379,1.0
0.9999999982637181,1.0
0.9999999985749682,1.0
0.9999999986839647,1.0
0.9999999987354461,1.0
0.9999999988327257,1.0
0.9999999988786573,1.0
0.999999999850308,1.0
0.9999999999793843,1.0
0.9999999999922723,1.0
0.9999999999945985,1.0
0.9999999999954952,1.0
0.9999999999966834,1.0
0.9999999999970697,1.0
0.9999999999972464,1.0
0.9999999999975698,1.0
0.9999999999977177,1.0
0.999999999997945,1.0
0.999999999999353,1.0
0.9999999999995767,1.0
0.9999999999996588,1.0
0.9999999999997631,1.0
0.9999999999997956,1.0
0.9999999999998103,1.0
0.9999999999998149,1.0
0.9999999999998366,1.0
0.9999999999998483,1.0
0.9999999999998833,1.0
0.9999999999999077,1.0
0.9999999999999274,1.0
0.9999999999999379,1.0
0.999999999999943,1.0
0.9999999999999472,1.0
0.9999999999999513,1.0
0.9999999999999555,1.0
0.9999999999999586,1.0
0.9999999999999619,1.0
0.9999999999999621,1.0
0.999999999999968,1.0
0.9999999999999706,1.0
0.9999999999999751,1.0
0.9999999999999771,1.0
0.9999999999999772,1.0
0.9999999999999808,1.0
0.9999999999999823,1.0
0.9999999999999839,1.0
0.9999999999999852,1.0
0.9999999999999865,1.0
0.9999999999999877,1.0
0.9999999999999887,1.0
0.9999999999999897,1.0
0.9999999999999906,1.0
0.9999999999999913,1.0
0.9999999999999921,1.0
0.9999999999999928,1.0
0.9999999999999934,1.0
