ligand_type,mean,std,ci_low,ci_high,count,skew,min,max
ag,0.0013152940245171642,0.0014812890491659927,3.4151430267700204e-05,0.005497358033344705,500,2.658689203741592,0.0,0.012006252502226984
bg,3.566442355775929e-07,1.2282023709983352e-07,1.5453942455411867e-07,6.250881310055478e-07,500,0.5544895005352762,8.336917541773989e-08,8.170418963147308e-07
nag,1.3168751581767041e-06,1.65060403982003e-06,0.0,5.416224521993664e-06,500,2.2674642527099884,0.0,1.2431951863785768e-05
