ligand_type,r_max,var_rate
ag,50,0.019993273719414527
ag,50,0.0012126945259898314
ag,50,0.004480549448870835
ag,50,0.018936522006683155
ag,50,0.018985522638148136
ag,50,0.0028780095292647296
ag,50,0.00020708392173450157
ag,50,0.0017062697055419524
ag,50,0.021891279472116408
ag,50,0.03853367389268114
ag,50,0.0663773882299261
ag,50,0.058345302632288265
ag,50,0.008860559421398354
ag,50,0.013289379853967121
ag,50,0.011239886414616805
ag,50,0.02016376258629792
ag,50,0.0034446567429794275
ag,50,0.01050810833594123
ag,50,0.010413826698844334
ag,50,0.02042310489654492
ag,50,0.012336000157306884
ag,50,0.0007935835697954603
ag,50,0.002770450001599973
ag,50,0.0
ag,50,0.038345990920576244
ag,50,0.0021928609283128715
ag,50,0.012802199935593292
ag,50,0.0016464773754416167
ag,50,0.015458385175005012
ag,50,0.009065833419597217
ag,50,0.003913972926616066
ag,50,0.008783297275316114
ag,50,0.029036678025313938
ag,50,0.00041096785977974917
ag,50,0.09002005311274615
ag,50,0.0008078597784178989
ag,50,0.002367883189139143
ag,50,0.00448662116277848
ag,50,0.003886815566731678
ag,50,0.028951235398364562
ag,50,0.0033266625856465397
ag,50,0.003133045345319874
ag,50,0.004964255247849184
ag,50,0.029438965141456257
ag,50,0.0034473196710423856
ag,50,0.001398895075358656
ag,50,0.011905359714366686
ag,50,0.0321409541055551
ag,50,0.0008954510906653048
ag,50,0.02250460272502625
ag,50,0.01506306047093819
ag,50,0.005387014723984629
ag,50,0.010145271946903817
ag,50,0.0036153453908309694
ag,50,0.02065632768335006
ag,50,0.043318447856936185
ag,50,0.04512133372331488
ag,50,0.004640229572121399
ag,50,0.011077345783572943
ag,50,0.00037070301568159725
ag,50,0.017031744814949835
ag,50,0.05463540494391007
ag,50,0.023844792726660926
ag,50,0.001938771104416889
ag,50,0.0014959559947644602
ag,50,0.05390275755686719
ag,50,0.005174575828250039
ag,50,0.05826318520310943
ag,50,0.008677606275967297
ag,50,0.005023122489266613
ag,50,0.010054369537058887
ag,50,0.009180066439601833
ag,50,0.009519959023388149
ag,50,0.002011015662827739
ag,50,0.015624493834128086
ag,50,0.0034745796806253657
ag,50,0.007694955437042998
ag,50,0.011565143329006638
ag,50,0.034617006330077145
ag,50,0.014360155772807397
ag,50,0.00996981910560711
ag,50,8.6275170996615e-05
ag,50,0.012194089837517135
ag,50,0.004205388985751034
ag,50,0.002117917955858103
ag,50,0.004965449065811462
ag,50,0.04824751737806809
ag,50,0.024697315534031164
ag,50,0.04656636488327545
ag,50,0.0005637280668204468
ag,50,0.012482620690320792
ag,50,0.0014795185148312395
ag,50,0.007186450290394283
ag,50,0.007652583627388045
ag,50,0.0005894708985177543
ag,50,0.008783519705093924
ag,50,0.07012877424122989
ag,50,0.0006468971110310308
ag,50,0.015959268273967153
ag,50,0.00283900303003658
ag,50,0.0005603267799044242
ag,50,0.028488090371253657
ag,50,0.01903483546608483
ag,50,0.0053379589708722214
ag,50,0.019309979030090248
ag,50,0.0030891710325843414
ag,50,0.0013107215764689459
ag,50,0.012842487069902736
ag,50,0.0051909916694617385
ag,50,0.008628124842084825
ag,50,0.03741340205574718
ag,50,0.007489898398386366
ag,50,0.057929380355672924
ag,50,0.002571157756244565
ag,50,0.00022865621448104012
ag,50,0.02188792891635207
ag,50,0.003940794463136648
ag,50,0.003925541984137838
ag,50,0.008971374196974817
ag,50,0.03140885919219466
ag,50,0.015667504315566846
ag,50,0.0015904859075813536
ag,50,0.021791020657924667
ag,50,0.008246705488237447
ag,50,0.0012780739687015688
ag,50,0.03144832335700802
ag,50,0.008500366120400253
ag,50,0.03524852200223111
ag,50,0.024363461779484247
ag,50,0.051195159372709444
ag,50,0.0003295850599692412
ag,50,0.01011506780164273
ag,50,0.004618681216942558
ag,50,0.012604448724812558
ag,50,0.004314045887233945
ag,50,0.016354564052309145
ag,50,0.011842683814712275
ag,50,0.004296191729844325
ag,50,0.008234727274232708
ag,50,0.003940373218227833
ag,50,0.006904146055103289
ag,50,0.006154366826521175
ag,50,0.017272715202080555
ag,50,0.008896770728315321
ag,50,0.00034280777790740623
ag,50,0.0652676807424642
ag,50,0.006427238574752498
ag,50,0.011520289325647621
ag,50,0.005719457747068914
ag,50,0.005173689175584366
ag,50,0.0029791666398361464
ag,50,0.005129954992846691
ag,50,0.015154783651144815
ag,50,0.009430861409396795
ag,50,0.015735828093730975
ag,50,0.013826454215917348
ag,50,0.019313669467593133
ag,50,0.008534950242251389
ag,50,0.005384496161469085
ag,50,0.002646194924784742
ag,50,0.013829619200697425
ag,50,0.01100724897658532
ag,50,0.015573098028837495
ag,50,0.004005952103598757
ag,50,0.009284919106566569
ag,50,0.019947344358992012
ag,50,0.015475303718423188
ag,50,0.005562390531345569
ag,50,0.016931166061714725
ag,50,0.005176840281634263
ag,50,0.0003275473479398029
ag,50,0.07115552940580784
ag,50,0.004820793714658457
ag,50,0.0019469024168030685
ag,50,0.00882491342290455
ag,50,0.0002660922290024066
ag,50,0.03419113608568436
ag,50,0.001092537417236517
ag,50,0.003665849482140156
ag,50,0.045151398896182346
ag,50,0.011692362180435754
ag,50,0.02028458609295523
ag,50,0.0043354217824837175
ag,50,0.009504546694517802
ag,50,0.001595329195480102
ag,50,0.005308951458512778
ag,50,0.011246215271193032
ag,50,0.006031217318494497
ag,50,0.011957416501199662
ag,50,0.013738762479532322
ag,50,0.0032912550936174652
ag,50,0.0002963547543505538
ag,50,0.002779599381792958
ag,50,0.008224457198048193
ag,50,0.033048776576187475
ag,50,0.013051622676220736
ag,50,0.000504490192398899
ag,50,0.03271496438697834
ag,50,0.006196799315834791
ag,50,0.0014752843831558728
ag,50,0.06683308891279903
ag,50,0.007321734668321948
ag,50,0.0046997806349087625
ag,50,0.01927254370842302
ag,50,0.0007942932611083079
ag,50,0.004809554100140114
ag,50,0.009840678503559202
ag,50,0.042457958781065515
ag,50,0.00956973131859747
ag,50,0.006363592014539643
ag,50,0.0045990270050931285
ag,50,0.05816137949091244
ag,50,0.0336331206159155
ag,50,0.012892467470229268
ag,50,0.02012499205403308
ag,50,0.01409168182377861
ag,50,0.011070322481417006
ag,50,0.001195450225688977
ag,50,0.006600984302840146
ag,50,0.0024139814757801487
ag,50,0.030547601307849417
ag,50,0.006693882385144401
ag,50,0.0023511009264891164
ag,50,0.005686483923860551
ag,50,0.0017670865262549064
ag,50,0.014222044745572072
ag,50,0.008794418431544503
ag,50,0.05602111755938893
ag,50,0.0049349273701389616
ag,50,0.017704332882353905
ag,50,0.013747444585553764
ag,50,0.024381530709165027
ag,50,0.0012769313893254569
ag,50,0.010656298990149452
ag,50,0.009455585226250268
ag,50,0.11443143598772934
ag,50,0.003218664116422452
ag,50,0.004004029433607203
ag,50,0.02020499618011745
ag,50,0.015129331331630512
ag,50,0.008570334727272333
ag,50,0.010408533576965157
ag,50,0.030329037171905993
ag,50,0.0020909979715287535
ag,50,0.010782545471476893
ag,50,0.0025643060900086534
ag,50,0.013156458259112064
ag,50,0.0023501736234811475
ag,50,0.00728087833699475
ag,50,0.007209955399585972
ag,50,0.050950885679928594
ag,50,0.020019670649012302
ag,50,0.0011466779429291864
ag,50,0.02957410932388499
ag,50,0.004288266745487005
ag,50,0.012732162051259438
ag,50,0.0017548007837050118
ag,50,0.004229144140073833
ag,50,0.01012915321721566
ag,50,0.0033923621341248214
ag,50,0.0141609253973263
ag,50,0.0283227408358473
ag,50,0.0033607979606051375
ag,50,0.021687737347693154
ag,50,0.0027278095384289072
ag,50,0.004763930897263497
ag,50,0.01213877950620537
ag,50,0.02982835247591087
ag,50,0.02731561552630519
ag,50,0.0016447316433601455
ag,50,0.052085454337944335
ag,50,0.020961315473782015
ag,50,0.006432079270564745
ag,50,0.011279952642329059
ag,50,0.0027525938073273103
ag,50,0.0013588255663079976
ag,50,0.054007423594550685
ag,50,0.0054009129526463905
ag,50,0.0011693976406061354
ag,50,0.004649904345835002
ag,50,0.01891798459989476
ag,50,0.010903296153242625
ag,50,0.006114538437235177
ag,50,0.0597907683176251
ag,50,0.010557211061170777
ag,50,0.008116680185772926
ag,50,0.006878017753192193
ag,50,0.0053498178495180225
ag,50,0.00215129404078388
ag,50,0.0027464692939926805
ag,50,0.0030159272022001705
ag,50,0.00584124276657767
ag,50,0.00041533461114121555
ag,50,0.0028596203131047325
ag,50,0.0066920344963083515
ag,50,0.058765405850442896
ag,50,0.0005680774316173503
ag,50,0.028681202247297387
ag,50,0.029810050732512916
ag,50,0.029926603786409225
ag,50,0.0059831913169927035
ag,50,0.0015398991001989069
ag,50,0.016074340386577908
ag,50,0.00815376640756722
ag,50,0.016743225289541155
ag,50,0.007422939707235752
ag,50,0.048459515464416986
