tau1,tau2,local_tpr,local_fpr,global_tpr,global_fpr
2.9152471454268577e-09,2.9152471454268577e-09,0.9840639999999999,0.804609,1.0,0.9999999999999934
2.9152471454268577e-09,4.246525701957757e-09,0.9840639999999999,0.803712,1.0,0.9999999999999928
2.9152471454268577e-09,6.185746743865652e-09,0.9840639999999999,0.803712,1.0,0.9999999999999928
2.9152471454268577e-09,9.010533660871069e-09,0.9840639999999999,0.803712,1.0,0.9999999999999928
2.9152471454268577e-09,1.312528951079442e-08,0.9840639999999999,0.801918,1.0,0.9999999999999913
2.9152471454268577e-09,1.9119092300856683e-08,0.9840639999999999,0.801021,1.0,0.9999999999999906
2.9152471454268577e-09,2.7850028763788594e-08,0.9840639999999999,0.799227,1.0,0.9999999999999887
2.9152471454268577e-09,4.056804004806745e-08,0.9840639999999999,0.7947420000000001,1.0,0.9999999999999823
2.9152471454268577e-09,5.9093866196701257e-08,0.9840639999999999,0.7920510000000001,1.0,0.9999999999999771
2.9152471454268577e-09,8.607970752188174e-08,0.9840639999999999,0.7866690000000001,1.0,0.9999999999999619
2.9152471454268577e-09,1.2538891976349198e-07,0.9840639999999999,0.77142,1.0,0.9999999999998483
2.9152471454268577e-09,1.8264910107250015e-07,0.9840639999999999,0.738231,1.0,0.9999999999977177
2.9152471454268577e-09,2.660577520367602e-07,0.9840639999999999,0.643149,1.0,0.9999999988786573
2.9152471454268577e-09,3.875558489102902e-07,0.9840639999999999,0.445809,1.0,0.9999925322568494
2.9152471454268577e-09,5.645373415160749e-07,0.9840639999999999,0.274482,1.0,0.9983670840398704
2.9152471454268577e-09,8.223393115138079e-07,0.9840639999999999,0.21528,1.0,0.992160390499904
2.9152471454268577e-09,1.1978692878755266e-06,0.9840639999999999,0.173121,1.0,0.9776725436786892
2.9152471454268577e-09,1.7448890144799161e-06,0.9840639999999999,0.12468300000000002,1.0,0.9302880446707492
2.9152471454268577e-09,2.541711106269776e-06,0.9840639999999999,0.07355400000000001,1.0,0.7830287399515474
2.9152471454268577e-09,3.7024104651496657e-06,0.9840639999999999,0.041262,1.0,0.5694745560140109
