ligand_type,r_max,var_rate,ratio
ag,50,0.0099059441970804,10
ag,50,0.0095833409920151,10
ag,50,0.0216260950720903,10
ag,50,0.0145196186951418,10
ag,50,0.0083538442751097,10
ag,50,0.013100792044556,10
ag,50,0.0028679874170647,10
ag,50,0.0045173349730156,10
ag,50,0.0001099217753443,10
ag,50,0.0013742701401183,10
ag,50,0.0004137939559574,10
ag,50,0.0013440276821106,10
ag,50,0.0008428429132242,10
ag,50,0.0065710533299801,10
ag,50,0.0004702278914512,10
ag,50,0.012936834217004,10
ag,50,0.0079938999847226,10
ag,50,0.0058451813789026,10
ag,50,0.0085033497630247,10
ag,50,0.021605290230741,10
ag,50,0.0121041591391038,10
ag,50,0.0,10
ag,50,0.0242258595799844,10
ag,50,0.0031083693769032,10
ag,50,0.0137377996771441,10
ag,50,0.0376521616175784,10
ag,50,0.0069782487747457,10
ag,50,0.0169623165682675,10
ag,50,0.046552906225231,10
ag,50,0.0220172087966577,10
ag,50,0.0164947570983019,10
ag,50,0.0193928266713631,10
ag,50,0.0015570611105162,10
ag,50,0.0406346017341163,10
ag,50,0.0576870166451023,10
ag,50,0.0032513406758572,10
ag,50,0.0007324811674346,10
ag,50,0.0181247191001018,10
ag,50,0.0051861893493197,10
ag,50,0.0151737282142836,10
ag,50,0.0028056850253924,10
ag,50,0.0035329706364102,10
ag,50,0.0013382015870296,10
ag,50,0.0268321161993113,10
ag,50,0.0293759741337391,10
ag,50,0.0019913518776414,10
ag,50,0.0178054370793222,10
ag,50,0.010097411110372,10
ag,50,0.0055633400329912,10
ag,50,0.0064943570537364,10
ag,50,0.0062689567029816,10
ag,50,0.0423840995629861,10
ag,50,0.011101014496282,10
ag,50,0.0213733275100343,10
ag,50,0.0011481817060345,10
ag,50,0.0082121638264938,10
ag,50,0.0153820977804587,10
ag,50,0.0025759438101703,10
ag,50,0.0127837189154984,10
ag,50,0.0013828458874391,10
ag,50,0.0297059688052364,10
ag,50,0.0241999975544618,10
ag,50,0.0098734526534357,10
ag,50,0.0150735905819221,10
ag,50,0.0929922798020683,10
ag,50,0.0009131426775229,10
ag,50,0.0128835747373659,10
ag,50,0.0039871988771851,10
ag,50,0.0860956509579169,10
ag,50,0.0199283918825711,10
ag,50,0.0017550586456182,10
ag,50,0.0289706836976052,10
ag,50,0.0078944412382075,10
ag,50,0.0012152558341478,10
ag,50,0.0034005594389115,10
ag,50,0.0035238769831427,10
ag,50,0.000405229417034,10
ag,50,0.0123751791685603,10
ag,50,0.0375685369417658,10
ag,50,0.019678189590044,10
ag,50,0.0008541513250599,10
ag,50,0.0112460780858491,10
ag,50,0.0002413483693418,10
ag,50,0.0001205904497799,10
ag,50,0.0672559951558433,10
ag,50,0.0005922781024626,10
ag,50,0.0056922214153105,10
ag,50,0.0008267439296678,10
ag,50,0.0149623801266901,10
ag,50,0.0677821436938912,10
ag,50,0.0298770668323806,10
ag,50,0.0064896541309281,10
ag,50,0.0059725464901093,10
ag,50,0.0098460748318202,10
ag,50,0.0003703089831043,10
ag,50,0.0042512522557004,10
ag,50,0.0033559422428846,10
ag,50,0.0490398070510679,10
ag,50,0.0019998849762153,10
ag,50,0.0208526954319884,10
ag,50,0.0129770944415356,10
ag,50,0.0116173461722688,10
ag,50,0.0723044516167201,10
ag,50,0.0213227338728875,10
ag,50,0.0244344788551364,10
ag,50,0.0130611671511406,10
ag,50,0.0024933415555841,10
ag,50,0.0015469273660137,10
ag,50,0.0010436884020112,10
ag,50,0.0028127325041738,10
ag,50,0.0029905149178851,10
ag,50,0.0236687911541005,10
ag,50,0.0446998246133702,10
ag,50,0.0183158112446268,10
ag,50,0.0025263994343609,10
ag,50,0.0131585155615485,10
ag,50,0.0112333971052076,10
ag,50,0.0052739038062693,10
ag,50,0.0085136272167446,10
ag,50,0.0024857196172281,10
ag,50,0.0035487417934006,10
ag,50,0.0011235552867481,10
ag,50,0.0793455264582332,10
ag,50,0.0002203834759635,10
ag,50,0.0037643708407627,10
ag,50,0.0063814779660294,10
ag,50,0.0118215127209089,10
ag,50,0.0071068192920493,10
ag,50,0.0122731758155106,10
ag,50,0.0112263517303268,10
ag,50,0.0349774104553039,10
ag,50,0.0167926778827834,10
ag,50,0.0042899519307358,10
ag,50,0.0017337389652173,10
ag,50,0.0097458876563573,10
ag,50,0.0296710288454714,10
ag,50,0.0157675156252458,10
ag,50,0.0049915751489152,10
ag,50,0.0014711116414109,10
ag,50,0.0063503353112027,10
ag,50,0.0002868407357024,10
ag,50,0.0079384396263722,10
ag,50,0.0043408530614547,10
ag,50,0.0170968497049824,10
ag,50,0.0124406496697676,10
ag,50,0.0081282363158228,10
ag,50,0.0046108278604983,10
ag,50,0.0404921026804153,10
ag,50,0.0001090856963231,10
ag,50,0.0016131952922286,10
ag,50,0.000770419296811,10
ag,50,0.0153488291319567,10
ag,50,0.0020975439637668,10
ag,50,0.0046438055138105,10
ag,50,0.0085655044497618,10
ag,50,0.001218123163478,10
ag,50,0.0027757717767738,10
ag,50,0.0146138267115987,10
ag,50,0.0339212059107003,10
ag,50,0.0078128097679672,10
ag,50,0.0126440827782359,10
ag,50,0.005237893858522,10
ag,50,0.0109871978472738,10
ag,50,0.0186351088274876,10
ag,50,0.0802331622409426,10
ag,50,0.0035737931208163,10
ag,50,0.025988283400645,10
ag,50,0.0131179530365148,10
ag,50,0.001189108544941,10
ag,50,0.0206181164373309,10
ag,50,0.1028887461972985,10
ag,50,0.002790355384136,10
ag,50,0.0024223116229349,10
ag,50,0.0044758755469042,10
ag,50,0.0130226841575979,10
ag,50,0.0030822487412009,10
ag,50,0.0059629280528434,10
ag,50,0.0116316195838415,10
ag,50,0.0078507256723777,10
ag,50,0.006214517200954,10
ag,50,0.0149284173864273,10
ag,50,0.0017892645413876,10
ag,50,0.004960117739791,10
ag,50,0.0182406962814365,10
ag,50,0.0002576048367793,10
ag,50,0.0094015742973168,10
ag,50,0.0011365434302825,10
ag,50,0.0175017192761217,10
ag,50,0.0131202069933529,10
ag,50,0.0222983281164037,10
ag,50,0.0128943046044471,10
ag,50,0.0107066956223515,10
ag,50,0.0022836007020966,10
ag,50,0.0150174131562748,10
ag,50,0.0051391417555509,10
ag,50,0.0064600616857938,10
ag,50,0.0005385892957465,10
ag,50,0.0252035974953113,10
ag,50,0.0300388933879243,10
ag,50,0.0036241650966172,10
ag,50,0.0415009796769011,10
ag,50,0.0003509405446702,10
ag,50,0.0050771790436275,10
ag,50,0.028732080975262,10
ag,50,0.0043816848004581,10
ag,50,0.0581420195570953,10
ag,50,0.0128463853014765,10
ag,50,0.0039607736768631,10
ag,50,0.0080014022313643,10
ag,50,0.0026817645636988,10
ag,50,0.0010364585627366,10
ag,50,0.0007509905528992,10
ag,50,0.0033306727541107,10
ag,50,0.0071440469737097,10
ag,50,0.0236099653954918,10
ag,50,0.0153302213015112,10
ag,50,0.019924827141806,10
ag,50,0.0134480922052809,10
ag,50,0.0096119689600084,10
ag,50,0.0047679556513402,10
ag,50,0.0088044532192987,10
ag,50,0.0076165873453964,10
ag,50,0.0004969554324645,10
ag,50,0.1042797141728444,10
ag,50,0.005655262046315,10
ag,50,0.0069283237061702,10
ag,50,0.000588115212469,10
ag,50,0.0178035843901291,10
ag,50,0.0048681192405436,10
ag,50,0.0009561626053507,10
ag,50,0.0038040844571898,10
ag,50,0.0120449572925135,10
ag,50,0.0016210385483532,10
ag,50,0.0075159883332498,10
ag,50,0.0026293384308245,10
ag,50,0.0303157979038301,10
ag,50,0.0033226967474412,10
ag,50,0.0085030269247209,10
ag,50,0.0200841992997651,10
ag,50,0.0062765600392766,10
ag,50,0.001469024245726,10
ag,50,0.0102919615414784,10
ag,50,0.000979985077398,10
ag,50,0.009389541112324,10
ag,50,0.0079590090354562,10
ag,50,0.0353644259677472,10
ag,50,0.0065491524197051,10
ag,50,0.0110607066598905,10
ag,50,0.0097812657038137,10
ag,50,0.0082553513490964,10
ag,50,0.0391088388437508,10
ag,50,0.0221334112362599,10
ag,50,0.0042068360793772,10
ag,50,0.0126994651182368,10
ag,50,0.0139226822090494,10
ag,50,0.0130666145235415,10
ag,50,0.1211967535570238,10
ag,50,0.0021105664640373,10
ag,50,0.0160601669499478,10
ag,50,0.0307696907177246,10
ag,50,0.0436924820069158,10
ag,50,0.002335458568328,10
ag,50,0.0012183370334149,10
ag,50,0.0015929106168984,10
ag,50,0.0011843487858356,10
ag,50,0.0034108915247226,10
ag,50,0.0873178457909716,10
ag,50,0.0045148027838847,10
ag,50,0.0219105174738526,10
ag,50,0.0022009200118836,10
ag,50,0.0134343595765668,10
ag,50,0.0237273015729755,10
ag,50,0.0079867125086049,10
ag,50,0.0288151216829029,10
ag,50,0.0074298765725352,10
ag,50,0.0025681926802902,10
ag,50,0.0060151685605128,10
ag,50,0.0097009581247551,10
ag,50,0.0025339797336963,10
ag,50,0.0269835978380473,10
ag,50,0.0148431432222372,10
ag,50,0.002850289042896,10
ag,50,0.0242378308333374,10
ag,50,0.0048010056255654,10
ag,50,0.0124210685073676,10
ag,50,0.028442069762052,10
ag,50,0.0060123277830768,10
ag,50,0.0037696090693472,10
ag,50,0.0084847037252567,10
ag,50,0.0006416426768129,10
ag,50,0.0404450413365115,10
ag,50,0.0177232160420317,10
ag,50,0.0310152608962409,10
ag,50,0.0026232960302025,10
ag,50,0.017862254040652,10
ag,50,0.0153244532330008,10
ag,50,0.0031851394171677,10
ag,50,0.0166852413525568,10
ag,50,0.0020058749965237,10
ag,50,0.0368037607169296,10
ag,50,0.0218864777606161,10
ag,50,0.0560672982671761,10
ag,50,0.0131561583188346,10
ag,50,0.0056502681783182,10
ag,50,0.0286672718138754,10
ag,50,0.0017040908035248,10
ag,50,0.0269885803473633,10
ag,50,0.0010709915579488,10
ag,50,0.0093603737700215,10
ag,50,0.0125087161027175,10
ag,50,0.0013699183302325,10
ag,50,0.0096345729832003,10
ag,50,0.0031395356363636,10
ag,50,0.0386590446847438,10
ag,50,0.0017465957012879,10
ag,50,0.0019647247431841,10
ag,50,0.0004473311625626,10
ag,50,0.0024312364613063,10
ag,50,0.0031040250173383,10
ag,50,0.0163131453511553,10
ag,50,0.0023460157972363,10
ag,50,0.0106548620773851,10
ag,50,0.0016045190649076,10
ag,50,0.0171654633650739,10
ag,50,0.0138985889341992,10
ag,50,0.0191377604500534,10
ag,50,0.0057234259946444,10
ag,50,0.001037282703475,10
ag,50,0.0026786027228349,10
ag,50,0.02090176884344,10
ag,50,8.508788254017314e-05,10
ag,50,0.0115632057932576,10
ag,50,0.0043553098937354,10
ag,50,0.002672061470409,10
ag,50,0.031939936077856,10
ag,50,0.0109277939001615,10
ag,50,0.0078423209392791,10
ag,50,0.0224480631655386,10
ag,50,0.0491607982720851,10
ag,50,0.0240395575430022,10
ag,50,0.0141384867979236,10
ag,50,0.0074740864326838,10
ag,50,0.0158038540295664,10
ag,50,0.0006222663532262,10
ag,50,0.0464770189244169,10
ag,50,0.0157617871636482,10
ag,50,0.0044489804243614,10
ag,50,0.0247057444940627,10
ag,50,0.0109672924579772,10
ag,50,0.0261450260757286,10
ag,50,0.0093691853802564,10
ag,50,0.0095314759374957,10
ag,50,0.0054156106957696,10
ag,50,0.0142132791185943,10
ag,50,0.000480115040112,10
ag,50,0.0039798345679148,10
ag,50,0.0171070368210528,10
ag,50,0.0049664322660637,10
ag,50,0.0011340114398635,10
ag,50,0.0113788912670788,10
ag,50,0.0038780842896238,10
ag,50,0.0390464614201171,10
ag,50,0.0082616691063964,10
ag,50,0.0161412679642891,10
ag,50,0.0068025766334185,10
ag,50,0.0272510952861044,10
ag,50,0.0200120196735059,10
ag,50,0.0246585878642547,10
ag,50,0.0131115460517673,10
ag,50,0.00412031519114,10
ag,50,0.0175658611146736,10
ag,50,0.0036475091678654,10
ag,50,0.0032887558359915,10
ag,50,0.0040833748709839,10
ag,50,0.0311675798555939,10
ag,50,0.0034940442742163,10
ag,50,0.045957354535069,10
ag,50,0.0,10
ag,50,0.0410767591377333,10
ag,50,0.0006908852754152,10
ag,50,0.0721742305360432,10
ag,50,0.0199319769192563,10
ag,50,0.0039584021865726,10
ag,50,0.0218854082821293,10
ag,50,0.0205971627762714,10
ag,50,0.0064797123116242,10
ag,50,0.023091387541909,10
ag,50,0.0094310506430369,10
ag,50,0.032526300817542,10
ag,50,0.0601705226079714,10
ag,50,0.0101525503429186,10
ag,50,0.0039804326209292,10
ag,50,0.0152761762134444,10
ag,50,0.0271413093012459,10
ag,50,0.0013084300637059,10
ag,50,0.0495995307058758,10
ag,50,0.0026496270674247,10
ag,50,0.0135331971067615,10
ag,50,0.0360947287286762,10
ag,50,0.0188358577177021,10
ag,50,0.0050690938421889,10
ag,50,0.0218381448897119,10
ag,50,0.0048024979837487,10
ag,50,0.0038709735146938,10
ag,50,0.0159878482203189,10
ag,50,0.0002371037415355,10
ag,50,0.0035118401838304,10
ag,50,0.0028668206471336,10
ag,50,0.0072627083926097,10
ag,50,0.0222537538832924,10
ag,50,0.0248709107133892,10
ag,50,0.0490534902722284,10
ag,50,0.0332058644312141,10
ag,50,0.0273306136318225,10
ag,50,0.0001941934413649,10
ag,50,0.0087810202303888,10
ag,50,0.0044709393634232,10
ag,50,0.0061054261265781,10
ag,50,0.0020420672043345,10
ag,50,0.0090387303483262,10
ag,50,0.0030945941843826,10
ag,50,0.0049857404202772,10
ag,50,0.0046803487610709,10
ag,50,0.0366703635757897,10
ag,50,0.0013696630550383,10
ag,50,0.0048971971394771,10
ag,50,0.0038216981812976,10
ag,50,0.0012132106934558,10
ag,50,0.1104206217163536,10
ag,50,0.0050763346852769,10
ag,50,0.005002232318683,10
ag,50,0.0038831138325607,10
ag,50,0.0074391016311213,10
ag,50,0.0760660306593979,10
ag,50,0.0013958342356326,10
ag,50,0.0049562146026316,10
ag,50,0.0017543403154587,10
ag,50,0.0014354382817946,10
ag,50,0.0138907408976077,10
ag,50,0.0046926996525973,10
ag,50,0.0107276367053953,10
ag,50,0.0166268000546689,10
ag,50,0.0012505793526837,10
ag,50,0.0473828055617128,10
ag,50,0.0087451400779761,10
ag,50,0.0403112971729365,10
ag,50,0.0022705938735727,10
ag,50,0.0085407450177162,10
ag,50,0.0127376036986587,10
ag,50,0.0074871480791127,10
ag,50,0.0556654312723275,10
ag,50,0.0236398723091589,10
ag,50,0.0108932145532392,10
ag,50,0.0108461380866937,10
ag,50,0.0186669880087255,10
ag,50,0.0115635540064757,10
ag,50,0.0023844866618792,10
ag,50,0.0014170097681975,10
ag,50,0.0186235439567187,10
ag,50,0.0149830613653117,10
ag,50,0.0060900721197315,10
ag,50,0.0064622915004823,10
ag,50,0.0011290509032555,10
ag,50,0.0019071038838894,10
ag,50,0.0090172739807642,10
ag,50,0.0044484838258927,10
ag,50,0.0062969727071983,10
ag,50,0.0169748328251632,10
ag,50,0.0174182115908935,10
ag,50,0.0095427130783937,10
ag,50,0.0011697309639838,10
ag,50,0.0007581021991701,10
ag,50,0.0056217310541684,10
ag,50,0.0031801568221205,10
ag,50,0.0043782893695317,10
ag,50,0.0030609436978405,10
ag,50,0.0030868855205798,10
ag,50,0.0056001906641438,10
ag,50,0.0364124520755999,10
ag,50,0.0195336956334501,10
ag,50,0.014187382393934,10
ag,50,0.0663602630697584,10
ag,50,0.031960768307008,10
ag,50,0.0069847651250561,10
ag,50,0.0224514029627789,10
ag,50,0.0307911482955587,10
ag,50,0.0232842816703097,10
ag,50,0.0278389205010795,10
ag,50,0.0008141758009656,10
ag,50,0.0516809989198986,10
ag,50,0.0056313061537185,10
ag,50,0.0036460023939962,10
ag,50,0.0014796273972637,10
ag,50,0.0003067758688829,10
ag,50,0.0286500882135832,10
ag,50,0.0110001104702397,10
ag,50,0.0034861160474377,10
ag,50,0.0209724356768668,10
ag,50,0.0469201747628531,10
ag,50,0.003774159470506,10
nag,50,0.0001736412061537,10
nag,50,0.0,10
nag,50,0.0001874710462756,10
nag,50,1.5513740804280795e-05,10
nag,50,2.4680548246099433e-05,10
nag,50,2.77997729406762e-05,10
nag,50,0.0001210949634936,10
nag,50,0.0001533122683846,10
nag,50,8.104587771110453e-05,10
nag,50,0.000243081440482,10
nag,50,0.0001996593015191,10
nag,50,1.1595821938076798e-05,10
nag,50,0.0,10
nag,50,0.0,10
nag,50,0.000466545523561,10
nag,50,0.0003807756114843,10
nag,50,0.0006074068815562,10
nag,50,1.8467207237960738e-05,10
nag,50,0.000257998784112,10
nag,50,0.0001917799983342,10
nag,50,0.0006395390157464,10
nag,50,8.424590883800335e-05,10
nag,50,0.0,10
nag,50,0.0,10
nag,50,0.0,10
nag,50,0.0,10
nag,50,7.12288430029067e-05,10
nag,50,1.53537160603651e-05,10
nag,50,0.0002068345716474,10
nag,50,0.0,10
nag,50,1.1276150766922996e-05,10
nag,50,0.0001402767523623,10
nag,50,3.385365414173063e-05,10
nag,50,0.0001772501035597,10
nag,50,0.0001828479541351,10
nag,50,6.032265987818091e-05,10
nag,50,5.535680383754783e-05,10
nag,50,0.0008217128021721,10
nag,50,0.0,10
nag,50,0.0001229755753792,10
nag,50,1.520380779357876e-05,10
nag,50,1.7902457426907468e-05,10
nag,50,1.4351011564516795e-05,10
nag,50,0.0001793086342521,10
nag,50,0.000308084787415,10
nag,50,2.5889522713057136e-05,10
nag,50,0.0002974434782144,10
nag,50,0.0,10
nag,50,8.367287910293096e-05,10
nag,50,2.9403320677959816e-05,10
nag,50,0.0002591658407602,10
nag,50,2.201479472002776e-05,10
nag,50,0.001075023332399,10
nag,50,0.0014821574538586,10
nag,50,0.0,10
nag,50,0.0002450687207547,10
nag,50,0.0003146469072317,10
nag,50,0.0002402937835433,10
nag,50,0.0013062664233208,10
nag,50,5.1127069839712976e-06,10
nag,50,6.216891317677732e-05,10
nag,50,0.0001137356353105,10
