ligand_type,r_max,time_weighted_mean_b,time_weighted_variance,total_bound_time,n_binding_events,n_unbinding_events,binding_unbinding_events,mean_bound_dwell_time,total_signal,signal_rate,ratio,time_weighted_variance_observed,total_signal_observed
ag,50,0.9941970921937556,0.6203489906227049,994.1970921937557,1000,1000,2000,0.9941970921937556,904,0.904,14,0.5347404448282773,814.1054113495592
ag,50,2.2472642972285697,1.4860219209865795,2247.26429722857,2296,2294,4590,0.9796269822269267,4585,4.585,14,1.194679058611378,5734.034821043727
ag,50,1.6963472330407634,1.112888175349163,1696.3472330407635,1621,1619,3240,1.0477746961338872,2387,2.387,14,1.0667469057191517,2534.604643924451
ag,50,1.0260335978385204,0.6554289337825205,1026.0335978385203,948,948,1896,1.082313921770591,755,0.755,14,0.5808772232039326,995.2509123846037
ag,50,2.0174050709491094,1.2902210624427413,2017.4050709491094,1975,1971,3946,1.0235439223486096,3498,3.498,14,1.1333519301391741,4123.168938860906
ag,50,2.31116671576354,1.4893999778573905,2311.16671576354,2285,2283,4568,1.0123375890335262,4734,4.734,14,1.8479069312888652,4340.267125874135
ag,50,2.6276795485548035,1.7627974010089966,2627.6795485548037,2601,2597,5198,1.0118134572794777,6059,6.059,14,1.902391842541125,4804.080603176343
ag,50,1.30728377417838,0.8621868885181653,1307.28377417838,1332,1332,2664,0.9814442749086938,1447,1.447,14,0.7272068720903014,1520.3603808665955
ag,50,1.0623530004239563,0.6604128525045497,1062.3530004239562,1026,1025,2051,1.036441951633128,929,0.929,14,0.5273541739698253,917.2854308949996
ag,50,0.998656848226018,0.6468415152695104,998.6568482260179,954,953,1907,1.047908550079767,844,0.844,14,0.6236723676904469,893.3190460635243
ag,50,2.2049736393673784,1.4780978069279023,2204.9736393673784,2239,2235,4474,0.9865653867415564,4405,4.405,14,1.4067911764488137,4554.1174209454575
ag,50,0.9472067357199984,0.6540553553157612,947.2067357199984,977,977,1954,0.969505358976457,814,0.814,14,0.599624222097505,955.2843096710338
ag,50,1.6505720366089356,1.0596386724157179,1650.5720366089356,1652,1651,3303,0.9997407853476291,2475,2.475,14,1.17178542474179,3142.1146239801405
ag,50,1.2852307083853685,0.8640075851319868,1285.2307083853684,1297,1296,2593,0.9916903614084633,1417,1.417,14,0.7579653970205239,1600.6597923654238
ag,50,2.242835850761479,1.402506083319738,2242.835850761479,2274,2273,4547,0.9867293668110334,4772,4.772,14,1.5283434994057803,4619.914160134177
ag,50,2.638742041589253,1.6093087479725428,2638.742041589253,2620,2617,5237,1.0083080021357482,5956,5.956,14,1.5072602598657483,5851.499305697179
ag,50,0.3326713070381943,0.2220011085116937,332.6713070381943,336,336,672,0.9900931757089116,61,0.061,14,0.21805576376643987,76.5254577793992
ag,50,2.238858421610413,1.5552557701642868,2238.8584216104127,2303,2303,4606,0.9721486850240612,4449,4.449,14,1.679798230840312,4633.3982950731115
ag,50,0.6386620243457417,0.4399908556536363,638.6620243457417,643,642,1285,0.9948006609746755,357,0.357,14,0.47485461495349773,302.3562573966138
ag,50,1.6461514677504663,1.0786623762023246,1646.1514677504663,1630,1630,3260,1.0099088759205315,2327,2.327,14,1.033806494745298,1890.3783295584217
ag,50,1.2669038195365085,0.8139567741691214,1266.9038195365085,1276,1275,2551,0.993650054538438,1491,1.491,14,0.7520918273418407,1613.729120842276
ag,50,2.187529424411021,1.4041825715272032,2187.529424411021,2253,2251,4504,0.971803387121733,4554,4.554,14,1.4305760438155448,4665.322432542557
ag,50,2.8187140122646643,1.8517673711148117,2818.7140122646642,2995,2991,5986,0.9423985330206166,7532,7.532,14,2.3713603331493602,7229.460668320943
ag,50,2.0118349301741363,1.368118764856663,2011.8349301741364,1982,1980,3962,1.016078247562695,3424,3.424,14,1.4631700398352816,2996.630756483357
ag,50,1.2862152481816,0.8501339616840378,1286.2152481816001,1346,1342,2688,0.9584316305377051,1564,1.564,14,0.786403974978744,1628.1979275826873
ag,50,2.001938519108064,1.2767069947404939,2001.9385191080642,1975,1974,3949,1.0141532518277934,3583,3.583,14,1.1325039649069195,2676.4619454788935
ag,50,1.276308703540147,0.8245704562495116,1276.308703540147,1290,1289,2579,0.9901541532506959,1427,1.427,14,0.8905640507347212,1741.375514813833
ag,50,2.004336019178662,1.364610253851901,2004.3360191786621,1978,1973,3951,1.0158824222902494,3559,3.559,14,1.6619545107029365,4899.611576597443
ag,50,1.3349941792213926,0.8877733054751539,1334.9941792213926,1305,1304,2609,1.0237685423476937,1399,1.399,14,0.8775368916027956,1443.8427022089109
ag,50,0.9894913378279742,0.6683740526762665,989.4913378279741,1000,999,1999,0.9904818196476217,818,0.818,14,0.6970466429741909,992.1557592914585
ag,50,0.9960428382322664,0.6567421910903587,996.0428382322664,1021,1019,2040,0.9774708912976118,819,0.819,14,0.7339469849601638,980.0020849436667
ag,50,0.6730003043266191,0.44963999338850225,673.000304326619,681,680,1361,0.9897063298920867,369,0.369,14,0.3894574568384184,334.8551437923762
ag,50,2.907963920224079,1.8273710422531229,2907.9639202240787,2901,2899,5800,1.0030920732059603,7175,7.175,14,1.8584770507805293,7662.695544096735
ag,50,1.0184081358806099,0.6651983547378627,1018.40813588061,975,975,1950,1.0445211650057538,843,0.843,14,0.6580742495847208,907.7973958966082
ag,50,3.1844150029943075,2.140234772379288,3184.4150029943075,3210,3207,6417,0.9929575936995034,9121,9.121,14,1.7056426383735919,8061.965250837061
ag,50,1.6281904176036905,1.1442382189067775,1628.1904176036905,1626,1624,3250,1.0025803064062133,2454,2.454,14,1.2515614860781046,2601.586624163627
ag,50,2.5668702911395123,1.7752366124442065,2566.870291139512,2598,2595,5193,0.9891600351211993,5772,5.772,14,1.792903362553745,5036.781211991704
ag,50,1.34413252580874,0.8828928121850442,1344.13252580874,1306,1305,2611,1.0299866098151265,1535,1.535,14,0.7970801948925693,1519.660047424455
ag,50,0.9620155911292065,0.6581281625879828,962.0155911292065,975,974,1949,0.9876956787774195,789,0.789,14,0.6894371802903083,779.2439933435215
ag,50,1.6663879826639914,1.0379068604006951,1666.3879826639914,1648,1646,3294,1.0123863807193143,2376,2.376,14,0.9607203241687612,2665.8363743652035
ag,50,0.9814288723074687,0.6480678256563321,981.4288723074686,966,965,1931,1.0170247381424544,764,0.764,14,0.7071401653894285,686.3243346595846
ag,50,1.5855152259501453,1.10007612544746,1585.5152259501453,1635,1631,3266,0.9721123396383479,2270,2.27,14,1.037067785355549,1927.4406567723397
ag,50,0.9536494817504134,0.6532642426992075,953.6494817504134,941,940,1881,1.0145207252663972,721,0.721,14,0.561015152374272,753.0910465088795
ag,50,1.6054805818939486,1.036770929874866,1605.4805818939485,1610,1608,3218,0.9984331976952416,2216,2.216,14,1.1858431507793252,2206.8950583436617
ag,50,0.6873304291569846,0.47168324460314137,687.3304291569846,693,693,1386,0.9918188010923298,361,0.361,14,0.4738658619939056,468.73277524900817
ag,50,1.940822868590276,1.2687818661903292,1940.822868590276,1915,1911,3826,1.0156058966982082,3118,3.118,14,1.3194845100520989,3267.37868133588
ag,50,1.9230899697277017,1.2917401179724284,1923.0899697277018,2021,2019,4040,0.9524962702960386,3278,3.278,14,1.3220992297922445,3771.001004311785
ag,50,1.5954564825572255,1.0585319311383734,1595.4564825572254,1655,1654,3309,0.9646048866730504,2358,2.358,14,1.169346675248479,2671.41712407006
ag,50,2.2182847016323417,1.4944917159147817,2218.2847016323417,2287,2287,4574,0.9699539578628517,4349,4.349,14,1.4130332972332733,4870.716260748529
ag,50,1.9048752639563036,1.2915923557949287,1904.8752639563036,1937,1936,3873,0.9839231735311486,3276,3.276,14,1.1916118674318286,3844.4670770216794
ag,50,1.6169143424120296,1.1066026960621307,1616.9143424120296,1626,1625,3251,0.9950242107150951,2302,2.302,14,1.2573111130800554,2458.875301341844
ag,50,1.6708176723419945,1.073704949420973,1670.8176723419945,1650,1650,3300,1.0126167711163603,2466,2.466,14,1.0863776378504089,2692.6455463852817
ag,50,2.333124714001523,1.544949684653332,2333.124714001523,2307,2304,4611,1.0126409348964944,4816,4.816,14,1.6684530437174974,4380.269892088582
ag,50,0.7055773065080642,0.45244249290159594,705.5773065080641,637,636,1273,1.1093982806730567,345,0.345,14,0.46939039125758336,304.4823953848906
ag,50,1.9103859421702853,1.2163677907207642,1910.3859421702853,1932,1930,3862,0.9898372757358991,3314,3.314,14,0.897516669175029,2714.3211291474545
ag,50,1.289468174762567,0.8672723204655407,1289.4681747625668,1266,1265,2531,1.0193424306423453,1421,1.421,14,0.8514877008170673,1606.0434315703285
ag,50,2.259989388473925,1.4987537526740002,2259.989388473925,2318,2314,4632,0.976659199859086,4460,4.46,14,1.3436071363217144,3821.873488539952
ag,50,2.622563977693213,1.6728960882193515,2622.563977693213,2578,2573,5151,1.0192631083145018,6168,6.168,14,2.088306922971934,5167.167149219562
ag,50,0.6430971012978276,0.4389275732396042,643.0971012978276,637,636,1273,1.0111589643047605,307,0.307,14,0.46873478074735053,260.8619414804657
ag,50,3.1860776346318116,2.1208227729215063,3186.0776346318116,3149,3145,6294,1.0130612510752979,8713,8.713,14,1.5441436145593397,9794.428250129975
ag,50,1.909270065789261,1.2425926723219782,1909.270065789261,1976,1973,3949,0.9676989689758039,3397,3.397,14,1.1725356808828822,4064.3857271312118
ag,50,1.332796296611797,0.8332586361722042,1332.796296611797,1349,1347,2696,0.9894553055766867,1578,1.578,14,0.5949441368506795,1449.2565731874865
ag,50,0.9672678049353582,0.6413548732933987,967.2678049353583,1002,1000,2002,0.9672678049353582,920,0.92,14,0.4838239624044904,910.4798542910496
ag,50,1.6934391289996564,1.079903486716419,1693.4391289996565,1641,1640,3281,1.0325848347558881,2486,2.486,14,1.3317711458163164,2651.214535462291
ag,50,2.335566486692956,1.5238557187190382,2335.566486692956,2285,2284,4569,1.0225772708813292,4750,4.75,14,1.3861459615095013,4293.660919645528
ag,50,1.9374224144693684,1.2865016307918313,1937.4224144693683,1898,1896,3794,1.0218472650154895,3099,3.099,14,1.4045496771340988,1992.101442927018
ag,50,1.960207093844895,1.3089884367858848,1960.207093844895,1950,1949,3899,1.0057501764211878,3186,3.186,14,1.1931702901678698,2884.2156394261397
ag,50,2.2430230460304164,1.5652736672875491,2243.0230460304165,2266,2264,4530,0.9907345609674985,4602,4.602,14,1.487794526432716,4475.8853009641125
ag,50,1.6358620852910546,1.1301195997160955,1635.8620852910547,1626,1624,3250,1.0073042397112406,2145,2.145,14,1.092751681275363,1932.5611930317334
ag,50,1.6799322575545956,1.0961830063058073,1679.9322575545957,1714,1713,3427,0.9806960055776974,2527,2.527,14,0.8189026277318007,2828.7522076057626
ag,50,1.333073387855957,0.841128346065189,1333.073387855957,1301,1300,2601,1.0254410675815053,1511,1.511,14,0.9210595823571753,1889.6725587083497
ag,50,1.6812981521784478,1.0724061502117201,1681.2981521784477,1659,1657,3316,1.0146639421716643,2375,2.375,14,0.970129823118327,2204.306533758198
ag,50,1.275333605732667,0.8293556960305689,1275.333605732667,1333,1333,2666,0.9567393891467869,1427,1.427,14,0.6289497022229277,1241.367650266031
ag,50,1.922443195578098,1.20743471168602,1922.443195578098,1960,1959,3919,0.9813390482787637,3254,3.254,14,1.551426745716142,2635.580281227375
ag,50,0.9490314251153484,0.6230284386682351,949.0314251153484,969,968,1937,0.9804043647885831,820,0.82,14,0.6874301134976818,990.8852256775656
ag,50,2.9036501005505215,1.8319398783556127,2903.6501005505215,2927,2922,5849,0.9937200891685563,7736,7.736,14,2.0036933012727256,6947.361985821173
ag,50,1.9484646716326854,1.263512240812117,1948.4646716326854,1910,1907,3817,1.0217434041073337,3380,3.38,14,1.587322381160793,2820.5845019914664
