global_fpr,global_tpr
0.0,1.0
1.9999810001669616e-05,1.0
0.00015998784058379734,1.0
0.0006398054773510964,1.0
0.001279222058761964,1.0
0.001359121798348073,1.0
0.002197702516631983,1.0
0.0029358979089750825,1.0
0.0036337133072550376,1.0
0.004390816127378239,1.0
0.005107567265234869,1.0
0.00530657779181376,1.0
0.009159906746426527,1.0
0.01082395526409119,1.0
0.013611212603403922,1.0
0.015721384282628148,1.0
0.016607557987372568,1.0
0.017001169625668555,1.0
0.0172569369254425,1.0
0.01729628012902551,1.0
0.01741430076208572,1.0
0.01745363798071986,1.0
0.017473306028996105,1.0
0.01753230792973659,1.0
0.02028198931595737,1.0
0.023259079401057203,1.0
0.02872070924159864,1.0
0.03461762479692998,1.0
0.041710493857445075,1.0
0.042631992458254775,1.0
0.06809480868807993,1.0
0.07108287888804454,1.0
0.08852806493316112,1.0
0.08999207665757114,1.0
0.10407753615559867,1.0
0.11025512308421259,1.0
0.11937478552405434,1.0
0.12573380237945608,1.0
0.1285460077768984,1.0
0.13036933067922674,1.0
0.13064952002004016,1.0
0.13148957356512725,1.0
0.13176942000391512,1.0
0.13190931109799398,1.0
0.13232885591623367,1.0
0.13943171358315654,1.0
0.15715202843692178,1.0
0.182026966375879,1.0
0.21610172524184112,1.0
0.22047023727366732,1.0
0.25665000222800716,1.0
0.26026302114880207,1.0
0.2782260095122565,1.0
0.3058531584130204,1.0
0.33266446847078524,1.0
0.35397551075138767,1.0
0.3580701531193393,1.0
0.3873445862461542,1.0
0.4015509068877321,1.0
0.4186300913000103,1.0
0.4189883972339803,1.0
0.4265824670649828,1.0
0.4314679439418565,1.0
0.43221603693725696,1.0
0.43445470910243766,1.0
0.435199067905248,1.0
0.4355708981932649,1.0
0.4366849942580655,1.0
0.4478481802473887,1.0
0.4703788454263911,1.0
0.4818496674148137,1.0
0.4901814841710591,1.0
0.5496545399149295,1.0
0.5583657557191876,1.0
0.6148009932331607,1.0
0.6292435908273892,1.0
0.6293370869173187,1.0
0.6460152540446469,1.0
0.6695202964185931,1.0
0.6902526946873908,1.0
0.6990649503307782,1.0
0.7006205588439185,1.0
0.70466462816581,1.0
0.7055172811422523,1.0
0.7080612308495532,1.0
0.7089045645586434,1.0
0.7093253630265345,1.0
0.7105842939158026,1.0
0.7534761267835862,1.0
0.7695401303288895,1.0
0.79128797104646,1.0
0.8259940323010373,1.0
0.8384623177829204,1.0
0.8551070256854082,1.0
0.8619695011355716,1.0
0.8662632956283189,1.0
0.866912508818833,1.0
0.8688422325047955,1.0
0.8694795452253278,1.0
0.8697970972815119,1.0
0.87074535555647,1.0
0.8802873180141085,1.0
0.8816246503130292,1.0
0.9158840763720162,1.0
0.9264930885732936,1.0
0.9276221631739539,1.0
0.9302673348411487,1.0
0.9323235841987629,1.0
0.9352223294184868,1.0
0.9356576819868226,1.0
0.936947123774275,1.0
0.9373714548430424,1.0
0.9375826016797826,1.0
0.9382119920889366,1.0
0.9555354406319408,1.0
0.9618738913038817,1.0
0.9633144294413134,1.0
0.9663398146422765,1.0
0.9681775395574121,1.0
0.9684516623152704,1.0
0.9692606347396235,1.0
0.9695258845529322,1.0
0.9696576926487086,1.0
0.9700498750785969,1.0
0.978269143971524,1.0
0.9821007055139425,1.0
0.9829268828209096,1.0
0.9846770518249529,1.0
0.9857217579516877,1.0
0.9858763475073086,1.0
0.9863306326703304,1.0
0.9864789511444167,1.0
0.9865525358122477,1.0
0.9867710139961907,1.0
0.9911864640973803,1.0
0.9913914042929515,1.0
0.9935073581429651,1.0
0.9943405589576751,1.0
0.9948265342155004,1.0
0.9948976851789674,1.0
0.99510560251689,1.0
0.9951731010978255,1.0
0.9952065178454962,1.0
0.9953054544401185,1.0
0.9994841263751527,1.0
0.9998839163769623,1.0
0.9999401285408046,1.0
0.9999557107202635,1.0
0.9999636813891812,1.0
0.9999647794449856,1.0
0.9999678875193478,1.0
0.9999688643131427,1.0
0.9999693420599772,1.0
0.9999707338684719,1.0
0.9999968507351932,1.0
0.9999998387713385,1.0
0.9999999600481596,1.0
0.9999999792004194,1.0
0.9999999865506213,1.0
0.9999999874338801,1.0
0.999999989764899,1.0
0.9999999904460097,1.0
0.9999999907701972,1.0
0.9999999916812244,1.0
0.9999999973206664,1.0
0.9999999996410186,1.0
0.999999999862904,1.0
0.9999999999285355,1.0
0.9999999999354744,1.0
0.9999999999526541,1.0
0.9999999999573421,1.0
0.9999999999595174,1.0
0.9999999999654285,1.0
0.9999999999664313,1.0
0.9999999999893772,1.0
0.9999999999951549,1.0
0.999999999995718,1.0
0.9999999999969594,1.0
0.9999999999970579,1.0
0.999999999997408,1.0
0.9999999999975678,1.0
0.999999999997993,1.0
0.9999999999987097,1.0
0.9999999999988729,1.0
0.9999999999992528,1.0
0.9999999999993497,1.0
0.9999999999993937,1.0
0.9999999999994804,1.0
0.999999999999509,1.0
0.9999999999995499,1.0
0.9999999999996106,1.0
0.9999999999997093,1.0
0.9999999999997493,1.0
0.9999999999997496,1.0
0.9999999999997673,1.0
0.9999999999997844,1.0
0.9999999999997999,1.0
0.9999999999998141,1.0
0.9999999999998406,1.0
0.9999999999998411,1.0
0.9999999999998638,1.0
0.9999999999998739,1.0
0.9999999999998834,1.0
0.9999999999998922,1.0
0.9999999999999002,1.0
0.9999999999999003,1.0
0.9999999999999148,1.0
0.9999999999999214,1.0
0.9999999999999383,1.0
