ligand_type,r_max,var_rate
ag,50,0.006244947464665671
ag,50,0.016433436456991694
ag,50,0.003407734439953476
ag,50,0.010984053904013694
ag,50,0.00784661788070492
ag,50,0.004264900459836093
ag,50,0.005173728927224331
ag,50,0.001126130497511118
ag,50,0.0
ag,50,0.044218690283302255
ag,50,0.0
ag,50,0.006830511582674012
ag,50,0.028507514348981026
ag,50,0.006464229842597847
ag,50,0.012326575813215243
ag,50,0.0002217723315072669
ag,50,0.004425560876983322
ag,50,0.011656440169247599
ag,50,0.010877463145274135
ag,50,0.01737003110241544
ag,50,0.016428142933836577
ag,50,0.006346651978504121
ag,50,0.017531478672084464
ag,50,0.010425261740762894
ag,50,0.013338205893640905
ag,50,0.009213460581153708
ag,50,0.0005272748304689522
ag,50,0.01345538831600087
ag,50,0.00267922281059983
ag,50,0.001746247364714339
ag,50,0.002561535889500488
ag,50,0.0012944350351001993
ag,50,0.0047017366534088945
ag,50,0.006733352833802202
ag,50,0.010162370248504356
ag,50,0.03992783292527247
ag,50,0.013688921595617482
ag,50,0.08539941796708549
ag,50,0.003491009824629758
ag,50,0.011538843860866127
ag,50,0.002528060416996188
ag,50,0.00550475829305729
ag,50,0.026194689731631093
ag,50,0.0017661852240955754
ag,50,0.006546141263058424
ag,50,0.009273451079357033
ag,50,0.0395958670949863
ag,50,0.004784067787048943
ag,50,0.0007238810805855845
ag,50,0.04881285653605074
ag,50,0.019001203123364445
ag,50,0.009633237382932884
ag,50,0.024377073214401575
ag,50,0.00900366990773785
ag,50,0.0019917945246215314
ag,50,0.01789505729892068
ag,50,0.00916035607195069
ag,50,0.04382338614604958
ag,50,0.007022329003909092
ag,50,0.0006297728645821679
ag,50,0.0019209246709631202
ag,50,0.0173022465408098
ag,50,0.0010674302579910006
ag,50,0.011494547181526243
ag,50,0.013060068535245004
ag,50,0.001626726143913233
ag,50,0.008294354047563434
ag,50,0.001942561992427212
ag,50,0.01641176077836225
ag,50,0.013441839236012783
ag,50,0.011147405511726896
ag,50,0.00427639075579466
ag,50,0.07179169357983091
ag,50,0.007278497034349578
ag,50,0.010001051540729729
ag,50,0.0022391848950641968
ag,50,0.004793376328089734
ag,50,0.019562829953011392
ag,50,0.09065314384762732
ag,50,0.03773827203288903
ag,50,0.01695220392663515
ag,50,0.008293218297744605
ag,50,0.01350651205103436
ag,50,0.0053896043508804385
ag,50,0.04018146767713313
ag,50,0.02031702883518966
ag,50,0.00245212158812342
ag,50,0.017532103585056833
ag,50,0.014513543400090615
ag,50,0.006236231020461704
ag,50,0.012240096655901258
ag,50,0.0013436992478433555
ag,50,0.004809814681950424
ag,50,0.0012472440705044324
ag,50,0.04940536749857705
ag,50,0.0013746619484296492
ag,50,0.009001059848493283
ag,50,0.002221962878658752
ag,50,0.010640014515934125
ag,50,0.008246420911979718
ag,50,0.002340362608432487
ag,50,0.0010140930152774134
ag,50,0.007703496125024361
ag,50,0.001195538264665618
ag,50,0.012518357588230913
ag,50,0.02550206315492849
ag,50,0.009602140800317639
ag,50,0.012587892548008756
ag,50,0.012350096729021008
ag,50,0.10576614349922145
ag,50,0.0009027037803733124
ag,50,0.0009814336752130921
ag,50,0.005150161400053467
ag,50,0.0044199342857618555
ag,50,0.0003143376343929864
ag,50,0.015723526689025855
ag,50,0.006091965690642484
ag,50,0.03323569136624202
ag,50,0.0009525281222894932
ag,50,0.02457935972527413
ag,50,0.00969718290537081
ag,50,0.011136817861488044
ag,50,0.0005467912842519424
ag,50,0.005464634379286906
ag,50,0.0013225254389258702
ag,50,0.012304884895549545
ag,50,0.007000520875523131
ag,50,0.005146627077427229
ag,50,0.01280586713256515
ag,50,0.004258394037499072
ag,50,0.012264000167860362
ag,50,0.0591067508746985
ag,50,0.012380739692016963
ag,50,0.019273007605207514
ag,50,0.012840971045777817
ag,50,0.011090166077148175
ag,50,0.000600672206409841
ag,50,0.0002975405073809246
ag,50,0.05554130476097782
ag,50,0.0020733493942678436
ag,50,0.001262335074270481
ag,50,0.0018593237037573924
ag,50,0.0011670391180329705
ag,50,0.010282228730402241
ag,50,0.027930595808722064
ag,50,0.028271426433253453
ag,50,0.0030639324075331285
ag,50,0.02929984608324799
ag,50,0.00873664351663975
ag,50,0.03968618702604146
ag,50,0.013519809967890617
ag,50,0.011770022817910532
ag,50,0.0004875493575425756
ag,50,0.049126008190947465
ag,50,0.03358391200866945
ag,50,0.0028074873794096443
ag,50,0.05117212145886431
ag,50,0.004328743521285031
ag,50,0.022215539632862488
ag,50,0.010152393837494412
ag,50,0.015583425002531905
ag,50,0.019905702177743713
ag,50,0.02448133735752322
ag,50,0.005625947781104844
ag,50,0.014330993945856008
ag,50,0.0021122404648903715
ag,50,0.002619398960696108
ag,50,0.04422032916244176
ag,50,0.007691648772610127
ag,50,0.0015129288278477476
ag,50,0.0010921313079759838
ag,50,0.0019519959221364301
ag,50,0.02633878644803757
ag,50,0.0
ag,50,0.011668944005467974
ag,50,0.007710008417434488
ag,50,0.002696264631107523
ag,50,0.049829342886354266
ag,50,0.012823046670003325
ag,50,0.0049727995637743536
ag,50,0.02477327015672176
ag,50,0.009594886799720011
ag,50,0.017695053638994457
ag,50,0.002035870986708554
ag,50,0.013293420816102894
ag,50,0.004094415924634678
ag,50,0.006466663306731541
ag,50,0.010348320328831189
ag,50,0.0008844215609999489
ag,50,0.021664215797194474
ag,50,0.02988975079128923
ag,50,0.014959326117162561
ag,50,0.004575141504203611
ag,50,0.008106000912224411
ag,50,0.006899980340690961
ag,50,0.028238665864445896
ag,50,0.01668232995510722
ag,50,0.08509315788775776
ag,50,0.006907835634799665
ag,50,0.034060389172879346
ag,50,0.013080664084112225
ag,50,0.020162386190971417
ag,50,0.003535174744424655
ag,50,0.05927631959871655
ag,50,0.006765502469642276
ag,50,0.009847098931712251
ag,50,0.004183554533792522
ag,50,0.0067527736828908395
ag,50,0.002334275459673488
ag,50,0.024492556393779168
ag,50,0.0036662263864015885
ag,50,0.002668664777360975
ag,50,0.005217324433926259
ag,50,0.00017255898878968556
ag,50,0.0040607370551145865
ag,50,0.018546620940419447
ag,50,0.0020670409437357463
ag,50,0.0049961682331799125
