ligand_type,r_max,time_weighted_mean_b,time_weighted_variance,total_bound_time,n_binding_events,n_unbinding_events,binding_unbinding_events,mean_bound_dwell_time,total_signal,signal_rate,ratio,time_weighted_variance_observed,total_signal_observed
ag,50,2.0542100309684894,1.36768619630407,2054.2100309684893,1992,1989,3981,1.0327853348257865,3682,3.682,1.5,1.4112076711293846,4229.291384018184
ag,50,2.6528304873383255,1.6305212597031356,2652.8304873383254,2645,2641,5286,1.0044795484052729,6371,6.371,1.5,1.638245346182887,6383.143476631938
ag,50,1.6974232007928922,1.0676940156127106,1697.4232007928922,1662,1661,3323,1.0219284772985504,2462,2.462,1.5,1.037023115794634,2262.3484793536823
ag,50,1.3471874136034343,0.8598951062263557,1347.1874136034344,1339,1337,2676,1.0076196062852911,1603,1.603,1.5,0.7547972310621788,1902.7403216311113
ag,50,2.646057886661026,1.7961596949802157,2646.057886661026,2603,2600,5203,1.0177145717927023,6520,6.52,1.5,1.9171738083167094,5243.601825807315
ag,50,1.281734034233683,0.8276119422016325,1281.734034233683,1296,1295,2591,0.989756010991261,1460,1.46,1.5,0.9178412874831229,1474.6909677961726
ag,50,1.644965491588201,1.129358196497622,1644.965491588201,1616,1615,3231,1.0185544839555425,2359,2.359,1.5,1.0797855344836,1696.082498397949
ag,50,2.975720472263569,1.875803304589727,2975.7204722635693,2906,2903,5809,1.0250501110105303,7852,7.852,1.5,2.3421743259619845,6899.744705731217
ag,50,1.9014289645744824,1.263675653523689,1901.4289645744825,1900,1900,3800,1.0007520866181487,3217,3.217,1.5,1.159923596255826,3946.9123632500323
ag,50,1.2859898664471205,0.8472216708642626,1285.9898664471204,1293,1291,2584,0.9961191839249578,1464,1.464,1.5,0.7960546420103697,1636.7185824928122
ag,50,0.6368918237308305,0.4321309963226896,636.8918237308305,629,628,1257,1.0141589549853989,290,0.29,1.5,0.5241026188808685,262.11545974511654
ag,50,1.0016215777307151,0.6553374970346254,1001.6215777307151,1024,1023,2047,0.9791022265207381,798,0.798,1.5,0.6119227109065561,932.364634167647
ag,50,3.496707343400151,2.3477501530524987,3496.7073434001513,3470,3467,6937,1.008568602076767,11076,11.076,1.5,2.47257650016848,12389.76644214546
ag,50,1.254483311423081,0.8298320113867339,1254.483311423081,1302,1301,2603,0.9642454353751583,1374,1.374,1.5,0.8239208831665645,1659.0558273729891
ag,50,1.963556418119309,1.2367444165135197,1963.556418119309,1970,1969,3939,0.9972353570946211,3346,3.346,1.5,1.316361378235409,3024.568151642952
ag,50,1.9777769228515485,1.2600372181998276,1977.7769228515485,1971,1968,3939,1.004967948603429,3528,3.528,1.5,1.4575439988398642,3021.5185544810834
ag,50,2.5879321643193265,1.615769436887838,2587.9321643193266,2638,2634,5272,0.982510312953427,6062,6.062,1.5,1.622436946908495,5715.905381289365
ag,50,1.3260389242980635,0.8833771124513992,1326.0389242980634,1271,1268,2539,1.0457720223170848,1484,1.484,1.5,0.8256445440200328,1389.4113865548436
ag,50,1.345985241435451,0.8875099430511519,1345.985241435451,1302,1301,2603,1.0345774338473874,1491,1.491,1.5,1.0482784874033093,1827.2430919286553
ag,50,2.234737328683843,1.4470666810307429,2234.737328683843,2238,2235,4473,0.999882473684046,4419,4.419,1.5,1.7297173879000516,4645.277605019171
ag,50,1.99990911414663,1.3333264481104798,1999.9091141466301,2003,1999,4002,1.0004547844655478,3307,3.307,1.5,1.2512993894196707,3143.5803802419227
ag,50,1.2850720386391963,0.8649369344113786,1285.0720386391963,1311,1311,2622,0.9802227602129644,1377,1.377,1.5,0.8740832693229714,1241.8554778610446
ag,50,2.622471793837218,1.7285769468874892,2622.4717938372182,2550,2549,5099,1.0288237716113058,5944,5.944,1.5,1.6250976915037165,5566.892777451649
ag,50,0.6472886082047044,0.43775551778216226,647.2886082047044,644,643,1287,1.0066696861659477,332,0.332,1.5,0.4234869386967441,285.8531812017856
ag,50,2.5984861649839512,1.68574589022413,2598.4861649839513,2542,2540,5082,1.0230260492062802,5862,5.862,1.5,1.9899097998221904,5607.190318964144
ag,50,1.639671081762022,1.1378078485390803,1639.671081762022,1608,1606,3214,1.0209658043350074,2319,2.319,1.5,1.173932312819423,2122.314135075463
ag,50,2.236354344861678,1.502096799964269,2236.354344861678,2230,2226,4456,1.0046515475569082,4326,4.326,1.5,1.2871289950218954,3840.1761796678675
ag,50,0.9720654526753073,0.6407944025576952,972.0654526753073,1043,1042,2085,0.9328843115885866,795,0.795,1.5,0.7077276742217217,625.8593799714561
ag,50,1.9521104602374846,1.3234058223429535,1952.1104602374846,1977,1976,3953,0.9879101519420469,3415,3.415,1.5,1.2473567432548565,3276.1125182315036
ag,50,0.6578304071514951,0.44671235720730773,657.8304071514951,683,681,1364,0.9659771030124745,365,0.365,1.5,0.44149121108492645,392.0468531590955
ag,50,1.9590961419266164,1.2909989964292072,1959.0961419266164,1888,1886,3774,1.0387572332590755,3291,3.291,1.5,1.1945315164107053,3310.3339490768503
ag,50,0.6890472484832075,0.43391654921458994,689.0472484832076,651,650,1301,1.0600726899741655,301,0.301,1.5,0.48776784775908083,240.66853443523513
ag,50,2.3361406600183217,1.5057753213912028,2336.140660018322,2291,2290,4581,1.0201487598333283,4797,4.797,1.5,1.942811291436204,4557.686817506594
ag,50,1.3352477505870237,0.8711256628603042,1335.2477505870238,1316,1313,2629,1.016944212175951,1450,1.45,1.5,0.9585009219551035,1314.2778607284538
ag,50,1.3094388677735125,0.9056281775123827,1309.4388677735126,1290,1289,2579,1.015856375309164,1591,1.591,1.5,1.0366897462244316,1581.5778778623467
ag,50,1.7373987410533016,1.0966289132610054,1737.3987410533016,1679,1677,3356,1.036015945768218,2675,2.675,1.5,1.2757071339321102,2324.8359037196788
ag,50,1.6509581646734615,1.0932304433737339,1650.9581646734614,1582,1581,3163,1.044249313518951,2227,2.227,1.5,1.23145537176894,2195.1781270838715
ag,50,1.3269348027618604,0.9207814362408576,1326.9348027618603,1328,1327,2655,0.9999508686977093,1621,1.621,1.5,1.1306939263730944,1557.5906636277305
ag,50,0.9670020748003381,0.6582211000236946,967.002074800338,975,973,1948,0.9938356369993196,791,0.791,1.5,0.5992748426182455,924.8688010625323
ag,50,1.3160559822056672,0.8436058858961157,1316.0559822056673,1323,1321,2644,0.996257367301792,1424,1.424,1.5,0.6578801248736339,1555.918090153202
ag,50,0.9840492461598161,0.6309882349307279,984.0492461598161,997,996,1993,0.988001251164474,780,0.78,1.5,0.5228614021702035,721.0629279219145
ag,50,1.6603211683777386,1.0543971949381612,1660.3211683777386,1625,1624,3249,1.0223652514641248,2306,2.306,1.5,1.0524000725037166,2611.6987127020698
ag,50,1.6210971501193538,1.073996584913169,1621.097150119354,1607,1605,3212,1.0100293770214044,2491,2.491,1.5,1.2481643555428092,2583.949819631675
ag,50,1.5995669807801793,1.0519596363342416,1599.5669807801794,1668,1667,3335,0.9595482788123452,2452,2.452,1.5,1.045009511122095,2583.319410140835
ag,50,0.6709251544509869,0.4227728917933312,670.9251544509868,640,639,1279,1.0499611180766617,377,0.377,1.5,0.40345407133933875,428.1619834194763
ag,50,0.988712848541511,0.6263778957329016,988.712848541511,985,984,1969,1.0047894802251127,786,0.786,1.5,0.58238913378359,711.5737714493937
ag,50,0.9402909968005255,0.6298255360906624,940.2909968005255,965,964,1929,0.9754055983407941,766,0.766,1.5,0.6616019230214373,789.7800275070869
ag,50,2.2777742977602093,1.5048552047998718,2277.7742977602093,2262,2260,4522,1.0078647335222164,4683,4.683,1.5,1.7563135701116726,5725.920970593633
ag,50,0.32914424861213604,0.2208083122176884,329.14424861213604,338,338,676,0.9737995521069114,63,0.063,1.5,0.2096877444771616,69.85756747819754
ag,50,1.703228305450601,1.1420473043974475,1703.228305450601,1694,1693,3387,1.0060415271415246,2456,2.456,1.5,1.4518313451962637,2714.36626350663
ag,50,1.6480314084919523,1.0419951691736806,1648.0314084919523,1686,1685,3371,0.9780601830812774,2616,2.616,1.5,1.1429431225548359,1761.374172104189
ag,50,1.2709113737799418,0.8414885344765114,1270.9113737799419,1284,1282,2566,0.9913505255693774,1453,1.453,1.5,0.7179788730926184,1553.0686133496915
ag,50,1.9225532076600858,1.24377095886494,1922.5532076600857,1913,1911,3824,1.0060456345683337,3262,3.262,1.5,1.399241641496724,2686.895419810174
ag,50,1.306444134962941,0.8080563934464134,1306.444134962941,1286,1285,2571,1.0166880427727167,1481,1.481,1.5,0.8242676889562602,1938.7519730294343
ag,50,1.945908696651686,1.3133540516447435,1945.9086966516861,1936,1934,3870,1.0061575473897033,3230,3.23,1.5,1.2944145390617499,3094.1626632156117
