class,n,n_zero_dropped,n_unique,gamma_params,gamma_ks,gamma_p,lognorm_params,lognorm_ks,lognorm_p
ag,500,1,499,"(1.074398779766401, 0, np.float64(0.0012240975839532798))",0.03761634878500009,0.4689092209413638,"(np.float64(1.1592733866343716), 0, np.float64(0.0007719247804540839))",0.06870293329624805,0.01714214024213924
nag,500,135,365,"(0.9061695539745469, 0, np.float64(1.914975316143485e-06))",0.023919177238902856,0.9819389950844254,"(np.float64(1.3617467827598702), 0, np.float64(9.108094584675113e-07))",0.08937078479037969,0.005494528538759491
bg,500,0,500,"(11.677051908020127, 0, np.float64(2.8915117647979085e-08))",0.021584884709533125,0.9700746641325362,"(np.float64(0.29826068413613965), 0, np.float64(3.232934304211591e-07))",0.022414232557330438,0.958320748755433
