ligand_type,r_max,var_rate
ag,50,0.005822878365152406
ag,50,0.034398763428391696
ag,50,0.00482536531224239
ag,50,0.00997183503113511
ag,50,0.004509852373460077
ag,50,0.029348893543038043
ag,50,0.006280848077942713
ag,50,0.010568890990383243
ag,50,0.012989754214364645
ag,50,0.007252358344630753
ag,50,0.004162225506850011
ag,50,0.018587706453244857
ag,50,0.04751749080828022
ag,50,0.00022148337546443485
ag,50,0.0026575309264163832
ag,50,0.0007410877143936182
ag,50,0.003257459102265634
ag,50,0.003977125080089696
ag,50,0.04875265404086773
ag,50,0.016585791959157267
ag,50,0.008467571162249743
ag,50,0.004725092775162678
ag,50,0.017362429529915686
ag,50,0.011811151956087439
ag,50,0.002294317593782325
ag,50,0.09561245228149153
ag,50,0.0002620396928268885
ag,50,0.0031266187353375914
ag,50,0.005944244200831148
ag,50,0.0024963128725062566
ag,50,0.017824622199621307
ag,50,0.00013654646147585626
ag,50,0.0029628002323110296
ag,50,0.011844109731763816
ag,50,0.012891314056682604
ag,50,0.0096628239175681
ag,50,0.0028616560194838826
ag,50,0.018351727767943624
ag,50,0.01438755191906581
ag,50,0.005027441691890698
ag,50,0.011146041437663639
ag,50,0.015425587117355836
ag,50,0.012336206266838939
ag,50,0.005589382431889989
ag,50,0.008442953352677368
ag,50,0.005599740415603093
ag,50,0.006292936331978681
ag,50,0.1077168689261576
ag,50,0.009761937981668594
ag,50,0.001152327458996852
ag,50,0.011961786396245393
ag,50,0.009097964048059367
ag,50,0.017457736579993603
ag,50,0.001951418262866979
ag,50,0.01076670063754161
ag,50,0.027885391590870792
ag,50,0.087708478486378
ag,50,0.01929249916855441
ag,50,0.014055486109788367
ag,50,0.01671699276585719
ag,50,0.0031111473741188794
ag,50,0.006345118133020723
ag,50,0.03393940401500639
ag,50,0.008327739723468466
ag,50,0.017946149091194942
ag,50,0.011640388963194605
ag,50,0.058022815147007245
ag,50,0.009815684886374193
ag,50,0.02176617904729713
ag,50,0.004036500411685998
ag,50,0.02170978905915458
ag,50,0.018271941508150695
ag,50,0.004445877710628363
ag,50,0.042704765443574814
ag,50,0.0005967594061920858
ag,50,0.022747730036184948
ag,50,0.003620340982638506
ag,50,0.005942419334295075
ag,50,0.014106855675498424
ag,50,0.010331455676368824
ag,50,0.002250230652157951
ag,50,0.005640437677998917
ag,50,0.024437086188001944
ag,50,0.011949413897024294
ag,50,0.09328881419471402
ag,50,0.006493370626704848
ag,50,0.027035403494949272
ag,50,0.04151935195876638
ag,50,0.015112072145527943
ag,50,0.004499666401522011
ag,50,0.021263729774069408
ag,50,0.003127042126833288
ag,50,0.027453085544542725
ag,50,0.0037784809825691626
ag,50,0.002591346167714366
ag,50,0.001927957293165727
ag,50,0.0034937723434959626
ag,50,0.013229026617362695
ag,50,0.0011310112973354064
ag,50,0.015001129970021738
ag,50,0.0016727415868139613
ag,50,0.005304071198487715
ag,50,0.06761505469504583
ag,50,0.0046665364507518375
ag,50,0.003286882385268558
ag,50,6.533968534074641e-05
ag,50,0.002090069281653067
ag,50,0.0021254906976996206
ag,50,0.03256305155289692
ag,50,0.058224082585138164
ag,50,0.01235187009329301
ag,50,0.013877079381356659
ag,50,0.009297352281094514
ag,50,0.0007737899021982445
ag,50,0.01208580298850317
ag,50,0.015033217690510381
ag,50,0.012210679590287578
ag,50,0.004762643249774873
ag,50,0.001251743999756763
ag,50,0.008626355905302462
ag,50,0.008172608871981972
ag,50,0.0032348487499520274
ag,50,0.006688191003566435
ag,50,0.006276300710064644
ag,50,0.0019069581854611437
ag,50,0.013119886161581001
ag,50,0.0008317149472893483
ag,50,0.07833454758565535
ag,50,0.00626252874118187
ag,50,0.05023498007345126
ag,50,0.014485719151975203
ag,50,0.028719672912669934
ag,50,0.022091701083622673
ag,50,0.009142950653047035
ag,50,0.01845309996341153
ag,50,0.010917631428082225
ag,50,0.009728362596976431
ag,50,0.03088180306396695
ag,50,0.06224691330300166
ag,50,0.009099034523797544
ag,50,0.09506126728618598
ag,50,0.012696328645302554
ag,50,0.016760271188739292
ag,50,0.02247332235840358
